Co ID,Company,Site (FB/Tw/LI),Job/Career (Yes/No),FB Tab,URL,Start Year,Notes
33,Goldman Sachs,LI,1,,https://www.linkedin.com/company/1382?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427845895520%2Ctas%3AGOLDMAN+SACHS,, 
33,Goldman Sachs,FB,1,,https://www.facebook.com/goldmansachscareers?fref=ts,, 
33,Goldman Sachs,TW,1,,https://twitter.com/GSCareers,2013, 
34,Nugget Market,FB,0,,https://www.facebook.com/nuggetmarkets?fref=ts,, 
34,Nugget Market,TW,0,,https://twitter.com/Nugget_Market,2009, 
34,Nugget Market,LI,0,,https://www.linkedin.com/company/8786727?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1427849849015%2Ctas%3ANUGGET+MARKETS,, 
35,Millennium: The Takeda Oncology Company,LI,0,,https://www.linkedin.com/company/4682?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-2-8%2CtarId%3A1427849883551%2Ctas%3ATAKEDA+,, 
35,Millennium: The Takeda Oncology Company,TW,0,,https://twitter.com/TakedaOncology,2011, 
35,Millennium: The Takeda Oncology Company,FB,0,1,https://www.facebook.com/TakedaOncology?fref=ts,, 
36,Southern Ohio Medical Center,FB,0,,https://www.facebook.com/SouthernOhioMedicalCenter?fref=ts,, 
36,Southern Ohio Medical Center,LI,1,,https://www.linkedin.com/company/651918?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1427850061717%2Ctas%3ASOUTHERN+OHIO+MED,, 
36,Southern Ohio Medical Center,TW,0,,https://twitter.com/somc_health,2009, 
37,Plante Moran,FB,0,1,https://www.facebook.com/plantemoran,, 
37,Plante Moran,TW,0,,https://twitter.com/PlanteMoran,2009, 
37,Plante Moran,LI,1,,https://www.linkedin.com/company/8795?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427850168382%2Ctas%3APLANTE+MORAN,, 
38,W. L. Gore & Associates,LI,1,,https://www.linkedin.com/company/5996?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-3%2CtarId%3A1427851019294%2Ctas%3AW.L.+GORE,, 
38,W. L. Gore & Associates,FB,0,,https://www.facebook.com/pages/WL-Gore-Associates/177071832305185?fref=ts,, 
39,St. Jude Children's Research Hospital,FB,0,1,https://www.facebook.com/stjude?fref=ts,, 
39,St. Jude Children's Research Hospital,TW,1,,https://twitter.com/joinstjude,2014, 
39,St. Jude Children's Research Hospital,LI,1,,https://www.linkedin.com/company/7639,, 
40,SVB Financial Group,LI,0,,https://www.linkedin.com/company/5090?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-3-9%2CtarId%3A1427851177511%2Ctas%3ASVB+,, 
40,SVB Financial Group,TW,1,,https://twitter.com/svb_careers,2010, 
40,SVB Financial Group,FB,0,,https://www.facebook.com/SVBFinancialGroup?fref=ts,, 
41,Adobe,FB,0,,https://www.facebook.com/Adobe?fref=ts,, 
41,Adobe,TW,1,,https://twitter.com/AdobeCareers,2011, 
41,Adobe,LI,1,,https://www.linkedin.com/company/1480?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851289567%2Ctas%3AADOBE+CA&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851289567%2Ctas%3AADOBE+,, 
42,Baptist Health South Florida,LI,1,,https://www.linkedin.com/company/14991?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-3-6%2CtarId%3A1427851316393%2Ctas%3ABAPTIST+HEALTH+S,, 
42,Baptist Health South Florida,FB,0,1,https://www.facebook.com/BaptistHealthSF?fref=ts,, 
42,Baptist Health South Florida,TW,0,,https://twitter.com/baptisthealthsf,2009, 
43,Novo Nordisk,FB,1,,https://www.facebook.com/novonordiskcareers,, 
43,Novo Nordisk,TW,0,,https://twitter.com/novonordisk,2010, 
43,Novo Nordisk,LI,1,,https://www.linkedin.com/company/2227?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851449634%2Ctas%3ANOVO+NORDISK,, 
44,Balfour Beatty Construction,LI,1,,https://www.linkedin.com/company/17438?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851489322%2Ctas%3ABALFOUR+BEATTY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851489322%2Ctas%3ABALFOUR+BEATTY,, 
44,Balfour Beatty Construction,TW,0,,https://twitter.com/balfourbeatty,2011, 
44,Balfour Beatty Construction,FB,0,,https://www.facebook.com/balfourbeatty?fref=ts,, 
45,National Instruments,FB,0,,https://www.facebook.com/NationalInstruments?fref=ts,, 
45,National Instruments,TW,1,,https://twitter.com/nicareers,2016, 
45,National Instruments,LI,1,,https://www.linkedin.com/company/3433?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851604484%2Ctas%3ANATIONAL+INSTRUMENTS+,, 
46,Intel,LI,1,,https://www.linkedin.com/company/1053?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427851620258%2Ctas%3AINTEL,, 
46,Intel,TW,1,,https://twitter.com/JobsatIntel,2008, 
46,Intel,FB,1,,https://www.facebook.com/jobsatintel,, 
47,American Fidelity Assurance,FB,1,,https://www.facebook.com/AmericanFidelityCareers,, 
47,American Fidelity Assurance,TW,1,,https://twitter.com/careersataf,2009, 
47,American Fidelity Assurance,LI,1,,https://www.linkedin.com/company/26205?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-4%2CtarId%3A1427851827503%2Ctas%3AAMERICAN+FIDELITY+,, 
48,PricewaterhouseCoopers,LI,1,,https://www.linkedin.com/company/1044?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-9%2CtarId%3A1427851854802%2Ctas%3APWC,, 
48,PricewaterhouseCoopers,TW,1,,https://twitter.com/PwC_US_Careers,2009, 
48,PricewaterhouseCoopers,FB,1,,https://www.facebook.com/PwCUSCareers?fref=ts,, 
