liPageId,companyString,geoSpecial,givenUrl,isGroup,job,liTab,trimmedUrl,affiliatedCompaniesLinks,affiliatedCompaniesNames,associatedGroupsLinks,associatedGroupsNames,careers,companySize,description,followers,founded,hq,industry,jobs,specialties,stats,title,type,website,fetchDone,fetchErrorMessage,parentCompanyLink
11,"Camden Property Trust",,https://www.linkedin.com/company/162872?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427387897314%2Ctas%3Acamden+property+trust+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427387897314%2Ctas%3Acamden+property+trust+,0,0,0,https://www.linkedin.com/company/162872,,,,,NULL,"1001-5000 employees","ABBREVOur Culture, Our Way of Life, The Camden Way Camden is recognized by FORTUNE® Magazine as one of the ""100 Best Companies to Work For"" in the country! We are the only multifamily company to ever be included on FORTUNE's famous list . Continuously ...","12,619 followers",1982,"11 Greenway Plaza, Suite 2400 Houston, Texas 77046 United States","Real Estate",NULL,"Residential Property Management, Real Estate Development, Multi-Family Housing",NULL,"Camden Property Trust","Public Company",http://www.camdenliving.com,1,NULL,NULL
12,"Recreational Equipment (REI)",,https://www.linkedin.com/company/165697?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388113389%2Ctas%3Arei,0,0,0,https://www.linkedin.com/company/165697,,,,,Careers,"10,001+ employees","ABBREVREI is a national outdoor retail co-op dedicated to inspiring, educating and outfitting its members and the community for a lifetime of outdoor adventure and stewardship. Founded in 1938 by a group of Pacific Northwest mountaineers seeking qualit...","86,969 followers",1938,"6750 S. 228th Street Kent, WA 98032 United States",Retail,NULL,"Outdoor, Co-Op, Retailer, Ecommerce, Outdoor Programs and Travel",NULL,REI,"Privately Held",http://www.rei.com,1,NULL,NULL
13,"CHG Healthcare Services",,https://www.linkedin.com/company/12687?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388171150%2Ctas%3Achg+health,0,0,0,https://www.linkedin.com/company/12687,,,,,NULL,"1001-5000 employees","ABBREVCHG Healthcare Services is a leader in healthcare staffing and the nation's largest provider of locum tenens services. CHG Healthcare Services is comprised of four respected healthcare staffing brands: CompHealth, Weatherby Healthcare, RNnetwork ...","8,190 followers",1979,"6440 South Millrock Drive Suite 175 Salt Lake City, UT 84121 United States","Staffing and Recruiting",NULL,"Physician staffing, Nurse staffing, Allied health staffing",NULL,"CHG Healthcare Services","Privately Held",http://www.chghealthcare.com,1,NULL,NULL
14,"Quicken Loans",,https://www.linkedin.com/company/165627?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+,0,0,0,https://www.linkedin.com/company/165627,,,,,NULL,"10,001+ employees","ABBREVQuicken Loans is HIRING for interns & full time positions! We're ranked top 15 on FORTUNE Magazine’s list of the '100 Best Companies to Work For.' We are #1 on Computerworld’s List of '100 Best Places to Work in IT' for the last three consecutive...","32,447 followers",1985,"1050 Woodward Ave. Detroit, MI 48226 United States","Financial Services","4 jobs posted","Home Loans, Mortgages, Refinance, Home Buying, Mortgage Rates, Mortgage Calculators, Fixed-rate Mortgages, Adjustable Rate Mortgages, YOURgage, FHA Loans, VA Loans, Rocket Mortgage","3second-degree connections 7,266Employees on LinkedIn","Quicken Loans","Privately Held",http://www.quickenloans.com,1,NULL,NULL
15,Zappos.com,,https://www.linkedin.com/company/14951?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos+c&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos,0,0,0,https://www.linkedin.com/company/14951,,,,,NULL,"1001-5000 employees","ABBREVThe Zappos Family of Companies, a subsidiary of Amazon.com, is a leader in online apparel and footwear sales by striving to provide shoppers the best possible service and selection. We carry millions of products from over 1000 footwear and appare...","57,443 followers",1999,NULL,Retail,NULL,"Customer Service, eCommerce, Apparel, Footwear",NULL,"Zappos Family of Companies","Public Company",http://www.zappos.com,1,NULL,NULL
16,"Mercedes-Benz USA",,https://www.linkedin.com/company/164934?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-2-10%2CtarId%3A1427388559259%2Ctas%3Amerce,0,0,0,https://www.linkedin.com/company/164934,,,,,Careers,"1001-5000 employees","ABBREVMercedes-Benz USA, LLC (MBUSA), a Daimler Company, is responsible for the Distribution and Marketing of Mercedes-Benz and smart products in the United States. MBUSA was founded in 1965 and prior to that Mercedes-Benz cars were sold in the United ...","171,985 followers",NULL,"303 Perimeter Center North Atlanta, GA 30346 United States",Automotive,NULL,"Sales, Marketing and distribution, Automotive",NULL,"Mercedes-Benz USA","Privately Held",http://www.mbusa.com,1,"ABBREVWebDriverException exception : unknown error: Element is not clickable at point (514, 778). Other element would receive the click: <p>...</p>
  (Session info: chrome=50.0.2661.94)
  (Driver info: chromedriver=2.16.333243 (0bfa1d3575fc1044244f21dd...",NULL
17,"DPR Construction",,https://www.linkedin.com/company/12538?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+JO&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+,0,0,0,https://www.linkedin.com/company/12538,,,,,NULL,"1001-5000 employees","ABBREVDPR Construction is a unique technical builder with a passion for results. Ranked among the top 25 contractors in the country, we are a commercial contractor and construction manager focused on complex and sustainable projects for some of the wor...","30,163 followers",1990,"1450 Veterans Blvd. Redwood City, California 94063 United States",Construction,NULL,"Advanced Technology (Mission Critical, Semiconductor, Entertainment), Lifesciences, Healthcare, Sustainable Construction, Higher Education, BIM / Virtual Design and Construction (VDC), IPD / Lean Construction, Corporate Office",NULL,"DPR Construction","Privately Held",http://www.dpr.com,1,NULL,NULL
18,"DreamWorks Animation SKG",,https://www.linkedin.com/groups?gid=4555783&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A1-1-1%2CtarId%3A1427388709146%2Ctas%3ADREAMWORKS+JOB,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
19,"DreamWorks Animation SKG",,https://www.linkedin.com/company/4080?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A4080%2Cidx%3A4-1-9%2CtarId%3A1446047833590%2Ctas%3Adreamworks,0,0,0,https://www.linkedin.com/company/4080,,,,,NULL,"1001-5000 employees","ABBREVOver the past 20 years, DreamWorks Animation has introduced the world to a lovable curmudgeonly ogre, a noodle-slurping martial arts obsessed panda, and a bashful yet charismatic Viking hero and his pet dragon. Thanks to movies like Shrek, Kung-F...","125,586 followers",1994,"1000 Flower Street Glendale, CA 91201 United States",Animation,NULL,NULL,NULL,"DreamWorks Animation","Public Company",http://dreamworksanimation.com,1,NULL,NULL
20,"NuStar Energy",,https://www.linkedin.com/company/7888?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+,0,0,0,https://www.linkedin.com/company/7888,,,,,NULL,"1001-5000 employees","ABBREVNuStar Energy L.P., a publicly traded master limited partnership based in San Antonio, is one of the largest independent liquids terminal and pipeline operators in the nation. NuStar currently has 8,643 miles of pipeline and 87 terminal and stora...","13,660 followers",2001,NULL,"Oil & Energy",NULL,NULL,NULL,"NuStar Energy L.P.","Public Company",http://www.nustarenergy.com,1,"ABBREVNoSuchElementException exception : no such element
  (Session info: chrome=50.0.2661.94)
  (Driver info: chromedriver=2.16.333243 (0bfa1d3575fc1044244f21ddb82bf870944ef961),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide ...",NULL
