Company Name,twitteruserid,id,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 favoriteCount,2008 favoriteCount,2009 favoriteCount,2010 favoriteCount,2011 favoriteCount,2012 favoriteCount,2013 favoriteCount,2014 favoriteCount,2015 favoriteCount,2016 favoriteCount,2007 retweetCount,2008 retweetCount,2009 retweetCount,2010 retweetCount,2011 retweetCount,2012 retweetCount,2013 retweetCount,2014 retweetCount,2015 retweetCount,2016 retweetCount,2007 isReply,2008 isReply,2009 isReply,2010 isReply,2011 isReply,2012 isReply,2013 isReply,2014 isReply,2015 isReply,2016 isReply,2007 isRetweet,2008 isRetweet,2009 isRetweet,2010 isRetweet,2011 isRetweet,2012 isRetweet,2013 isRetweet,2014 isRetweet,2015 isRetweet,2016 isRetweet,2007 isStatusQuote,2008 isStatusQuote,2009 isStatusQuote,2010 isStatusQuote,2011 isStatusQuote,2012 isStatusQuote,2013 isStatusQuote,2014 isStatusQuote,2015 isStatusQuote,2016 isStatusQuote,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCoords,2008 hasCoords,2009 hasCoords,2010 hasCoords,2011 hasCoords,2012 hasCoords,2013 hasCoords,2014 hasCoords,2015 hasCoords,2016 hasCoords,2007 possiblySensitive,2008 possiblySensitive,2009 possiblySensitive,2010 possiblySensitive,2011 possiblySensitive,2012 possiblySensitive,2013 possiblySensitive,2014 possiblySensitive,2015 possiblySensitive,2016 possiblySensitive,2007 hasExtendedMediaEntities,2008 hasExtendedMediaEntities,2009 hasExtendedMediaEntities,2010 hasExtendedMediaEntities,2011 hasExtendedMediaEntities,2012 hasExtendedMediaEntities,2013 hasExtendedMediaEntities,2014 hasExtendedMediaEntities,2015 hasExtendedMediaEntities,2016 hasExtendedMediaEntities,2007 hasHashtagEntities,2008 hasHashtagEntities,2009 hasHashtagEntities,2010 hasHashtagEntities,2011 hasHashtagEntities,2012 hasHashtagEntities,2013 hasHashtagEntities,2014 hasHashtagEntities,2015 hasHashtagEntities,2016 hasHashtagEntities,2007 hasMediaEntities,2008 hasMediaEntities,2009 hasMediaEntities,2010 hasMediaEntities,2011 hasMediaEntities,2012 hasMediaEntities,2013 hasMediaEntities,2014 hasMediaEntities,2015 hasMediaEntities,2016 hasMediaEntities,2007 hasMentionEntities,2008 hasMentionEntities,2009 hasMentionEntities,2010 hasMentionEntities,2011 hasMentionEntities,2012 hasMentionEntities,2013 hasMentionEntities,2014 hasMentionEntities,2015 hasMentionEntities,2016 hasMentionEntities,2007 hasUrlEntities,2008 hasUrlEntities,2009 hasUrlEntities,2010 hasUrlEntities,2011 hasUrlEntities,2012 hasUrlEntities,2013 hasUrlEntities,2014 hasUrlEntities,2015 hasUrlEntities,2016 hasUrlEntities
Publix Super Markets,73,56785107,0,0,0,0,0,0,0,520,2071,625,0,0,0,0,0,0,0,267,1227,1027,0,0,0,0,0,0,0,424,1695,1310,0,0,0,0,0,0,0,98,401,77,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,453,304,0,0,0,0,0,0,0,331,1119,419,0,0,0,0,0,0,0,8,453,304,0,0,0,0,0,0,0,122,478,124,0,0,0,0,0,0,0,368,1226,304
Vanderbilt University,108,41621787,0,0,0,0,0,0,0,0,1940,1264,0,0,0,0,0,0,0,0,2281,2874,0,0,0,0,0,0,0,0,2825,2423,0,0,0,0,0,0,0,0,429,133,0,0,0,0,0,0,0,0,70,58,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,663,855,0,0,0,0,0,0,0,0,494,325,0,0,0,0,0,0,0,0,663,855,0,0,0,0,0,0,0,0,945,711,0,0,0,0,0,0,0,0,1497,1051
Allianz Life Insurance,44,222480935,0,0,0,0,0,0,0,0,1934,1314,0,0,0,0,0,0,0,0,88,64,0,0,0,0,0,0,0,0,183,56,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,36,0,0,0,0,0,0,0,0,1915,1301,0,0,0,0,0,0,0,0,41,36,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1922,1307
Starbucks,68,59899837,0,0,0,0,0,0,595,1135,1311,179,0,0,0,0,0,0,720,3655,7165,2789,0,0,0,0,0,0,5098,8754,21581,2278,0,0,0,0,0,0,372,745,588,68,0,0,0,0,0,0,43,105,270,38,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,22,327,0,0,0,0,0,0,0,0,22,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,139,465,76,0,0,0,0,0,0,223,404,799,82,0,0,0,0,0,0,20,139,465,76,0,0,0,0,0,0,412,896,955,114,0,0,0,0,0,0,297,487,517,94
Kimpton Hotels & Restaurants,15,310540568,0,0,0,0,152,127,138,72,44,18,0,0,0,0,2,4,25,38,29,19,0,0,0,0,12,26,111,23,53,33,0,0,0,0,11,5,15,23,23,0,0,0,0,0,3,2,9,5,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,13,13,7,0,0,0,0,107,12,22,13,13,18,0,0,0,0,0,6,16,13,13,7,0,0,0,0,16,11,39,27,27,14,0,0,0,0,131,93,84,34,11,1
American Express,56,42712551,0,0,0,0,0,0,0,0,0,3240,0,0,0,0,0,0,0,0,0,10984,0,0,0,0,0,0,0,0,0,14285,0,0,0,0,0,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,2963,0,0,0,0,0,0,0,0,0,453
Baker Donelson,47,59338183,0,0,0,0,231,589,432,547,1026,422,0,0,0,0,1,11,25,110,210,83,0,0,0,0,139,3081,429,471,729,283,0,0,0,0,4,13,0,0,0,0,0,0,0,0,17,77,135,97,111,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,21,9,101,34,0,0,0,0,116,338,146,176,442,119,0,0,0,0,0,19,21,9,101,34,0,0,0,0,100,375,163,129,216,91,0,0,0,0,104,455,375,506,955,397
American Fidelity Assurance,42,317976536,0,0,0,0,0,514,1212,711,644,120,0,0,0,0,0,5,100,144,161,57,0,0,0,0,0,119,276,372,502,66,0,0,0,0,0,53,83,17,53,4,0,0,0,0,0,15,28,37,55,12,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,51,199,75,0,0,0,0,0,270,800,262,171,53,0,0,0,0,0,1,6,51,199,75,0,0,0,0,0,114,302,211,263,35,0,0,0,0,0,111,441,420,308,60
PCL Construction Enterprises,27,128032570,0,0,0,0,0,164,579,708,1327,449,0,0,0,0,0,24,192,939,2158,1159,0,0,0,0,0,259,956,2349,4319,2839,0,0,0,0,0,41,140,79,193,40,0,0,0,0,0,25,123,268,651,250,0,0,0,0,0,0,0,0,52,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,188,266,665,261,0,0,0,0,0,75,270,322,606,232,0,0,0,0,0,20,188,266,665,261,0,0,0,0,0,127,468,524,1142,352,0,0,0,0,0,89,245,321,462,169
Methodist Hospital System,46,228872206,0,0,0,9,98,183,163,238,270,114,0,0,0,0,1,0,5,7,21,11,0,0,0,115,207,141,96,10,122,3,0,0,0,0,0,1,1,1,2,1,0,0,0,7,16,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,5,4,7,3,32,6,0,0,0,0,0,0,2,0,2,0,0,0,0,7,20,8,8,2,8,3,0,0,0,1,40,171,144,231,249,107
FactSet Research Systems,70,57650435,0,0,0,0,0,0,0,911,1787,516,0,0,0,0,0,0,0,123,457,114,0,0,0,0,0,0,0,1860,5001,2173,0,0,0,0,0,0,0,35,147,47,0,0,0,0,0,0,0,168,300,72,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,264,69,0,0,0,0,0,0,0,274,776,233,0,0,0,0,0,0,0,52,264,69,0,0,0,0,0,0,0,599,890,212,0,0,0,0,0,0,0,571,1069,289
Autodesk,45,234518712,0,0,0,0,60,118,68,378,282,0,0,0,0,0,0,3,10,114,137,0,0,0,0,0,5967,1010,691,3338275,623,0,0,0,0,0,2,21,3,21,13,0,0,0,0,0,45,37,5,18,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,152,201,0,0,0,0,0,19,69,54,238,139,0,0,0,0,0,0,14,5,152,201,0,0,0,0,0,48,75,40,189,103,0,0,0,0,0,21,74,61,334,235,0
Colgate-Palmolive,101,21778607,0,0,0,0,212,462,504,441,798,812,0,0,0,0,12,157,242,510,1042,6338,0,0,0,0,256,4883,2265,3852,1792,4140,0,0,0,0,82,184,231,202,511,758,0,0,0,0,35,83,132,74,149,7,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,33,71,110,22,0,0,0,0,59,129,150,213,270,34,0,0,0,0,1,9,33,71,110,22,0,0,0,0,140,304,364,354,704,765,0,0,0,0,43,143,110,94,174,183
Burns & McDonnell,24,288966461,0,0,0,0,0,0,0,701,1777,738,0,0,0,0,0,0,0,36,217,81,0,0,0,0,0,0,0,41,174,39,0,0,0,0,0,0,0,47,94,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,270,262,0,0,0,0,0,0,0,128,270,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1295,692,0,0,0,0,0,0,0,554,764,335,0,0,0,0,0,0,0,85,1295,692,0,0,0,0,0,0,0,454,1332,387,0,0,0,0,0,0,0,645,1646,726
Hyatt Hotels,123,17924644,0,0,0,209,739,619,477,584,446,113,0,0,0,8,84,100,190,475,852,354,0,0,0,122,558,805,695,1781,975,314,0,0,0,33,205,133,91,106,112,11,0,0,0,59,101,96,76,212,112,24,0,0,0,0,0,0,0,0,24,10,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,20,106,137,35,0,0,0,35,70,105,100,251,201,52,0,0,0,0,1,8,20,106,137,35,0,0,0,144,368,254,177,339,252,45,0,0,0,4,144,398,323,335,222,78
NuStar Energy,14,58910381,0,0,13,10,15,16,33,88,50,6,0,0,1,1,2,1,13,44,65,11,0,0,0,0,8,10,15,75,55,12,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,0,0,17,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,63,33,3,0,0,0,0,0,3,12,44,22,5,0,0,0,0,1,1,15,63,33,3,0,0,0,0,0,1,16,56,35,5,0,0,0,0,2,12,16,17,11,4
Arnold & Porter,119,1098504926,0,0,0,0,0,0,124,166,244,69,0,0,0,0,0,0,5,23,36,31,0,0,0,0,0,0,40,69,279,50,0,0,0,0,0,0,4,1,4,0,0,0,0,0,0,0,11,3,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,30,65,153,54,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,20,9,80,26,0,0,0,0,0,0,116,165,232,69
S.C. Johnson & Son,93,326813935,0,0,0,0,0,0,0,298,2512,435,0,0,0,0,0,0,0,165,3643,440,0,0,0,0,0,0,0,202,5086,522,0,0,0,0,0,0,0,16,368,158,0,0,0,0,0,0,0,11,88,38,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,387,156,0,0,0,0,0,0,0,225,1702,192,0,0,0,0,0,0,0,20,387,156,0,0,0,0,0,0,0,230,1937,340,0,0,0,0,0,0,0,226,1744,306
Arkansas Children's Hospital,94,16322617,0,5,67,298,265,245,171,268,328,145,0,0,1,4,14,26,65,346,681,436,0,0,6,196,315,403,349,911,1043,286,0,0,3,21,25,13,19,8,6,0,0,0,0,2,16,11,11,34,37,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,42,67,49,0,0,2,63,43,97,72,116,179,74,0,0,0,0,0,5,6,42,67,49,0,0,16,131,105,86,46,70,83,18,0,0,0,0,41,93,116,116,149,78
OhioHealth,82,2923178940,0,0,0,0,0,0,0,1,240,694,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,694,0,0,0,0,0,0,0,0,240,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,240,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,694
Grainger,100,256527508,0,0,0,0,0,0,0,275,383,88,0,0,0,0,0,0,0,75,133,88,0,0,0,0,0,0,0,54,3087,111,0,0,0,0,0,0,0,16,7,7,0,0,0,0,0,0,0,11,46,14,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,158,46,0,0,0,0,0,0,0,110,193,65,0,0,0,0,0,0,0,63,158,46,0,0,0,0,0,0,0,69,111,41,0,0,0,0,0,0,0,72,211,42
Marriott International,50,14140913,0,0,0,0,0,0,0,0,2232,968,0,0,0,0,0,0,0,0,10503,8890,0,0,0,0,0,0,0,0,10298,5897,0,0,0,0,0,0,0,0,1289,523,0,0,0,0,0,0,0,0,148,51,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,297,0,0,0,0,0,0,0,0,610,318,0,0,0,0,0,0,0,0,603,297,0,0,0,0,0,0,0,0,1724,722,0,0,0,0,0,0,0,0,825,341
Whole Foods Market,30,15131310,0,0,0,0,0,0,0,0,6,3200,0,0,0,0,0,0,0,0,300,42156,0,0,0,0,0,0,0,0,151,17757,0,0,0,0,0,0,0,0,0,2649,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,519,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,6,519,0,0,0,0,0,0,0,0,0,2705,0,0,0,0,0,0,0,0,2,823
National Instruments,40,44682474,0,0,25,248,300,339,515,769,890,185,0,0,0,26,44,67,288,914,2071,1895,0,0,13,269,306,543,1061,1936,4077,1817,0,0,1,21,54,66,88,79,125,43,0,0,2,32,22,29,17,53,71,17,0,0,0,0,0,0,0,0,64,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,55,110,284,90,0,0,8,117,144,170,327,439,478,102,0,0,0,0,2,15,55,110,284,90,0,0,20,117,168,207,282,380,489,102,0,0,0,0,80,228,331,560,651,118
Hitachi Data Systems,80,15354310,0,0,0,0,0,0,0,0,2075,1164,0,0,0,0,0,0,0,0,8942,5382,0,0,0,0,0,0,0,0,13196,6040,0,0,0,0,0,0,0,0,107,14,0,0,0,0,0,0,0,0,548,467,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921,943,0,0,0,0,0,0,0,0,1791,951,0,0,0,0,0,0,0,0,921,943,0,0,0,0,0,0,0,0,1556,1063,0,0,0,0,0,0,0,0,1642,1125
LifeBridge Health,105,2163458978,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
The Everett Clinic,81,26550996,0,0,0,0,0,0,0,445,1966,813,0,0,0,0,0,0,0,61,357,304,0,0,0,0,0,0,0,2372,6449,1015,0,0,0,0,0,0,0,17,90,36,0,0,0,0,0,0,0,157,425,78,0,0,0,0,0,0,0,0,76,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,63,247,321,0,0,0,0,0,0,0,260,1078,482,0,0,0,0,0,0,0,63,247,321,0,0,0,0,0,0,0,242,1064,407,0,0,0,0,0,0,0,382,1800,708
Zappos.com,10,829968314,0,0,0,0,0,112,159,0,0,0,0,0,0,0,0,24,33,0,0,0,0,0,0,0,0,52,55,0,0,0,0,0,0,0,0,32,29,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,65,111,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,64,65,0,0,0,0,0,0,0,0,47,107,0,0,0
Kimley-Horn and Associates,116,50056003,0,0,0,1,27,28,84,171,204,57,0,0,0,0,0,1,27,152,309,181,0,0,0,0,12,16,74,363,891,147,0,0,0,0,1,7,3,10,0,3,0,0,0,0,1,4,8,27,39,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,57,105,30,0,0,0,0,1,2,31,62,115,16,0,0,0,0,0,0,12,57,105,30,0,0,0,0,2,17,73,135,148,33,0,0,0,0,15,24,39,81,88,24
SRC/SRCTec,76,78681420,0,0,19,43,33,29,8,19,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,29,8,19,49,3
Ernst & Young,55,368378534,0,123,151,51,218,598,481,613,433,140,0,15,23,31,5,19,76,452,314,142,0,1,5,155,46,3945,411,1951,686,235,0,12,58,0,39,24,24,60,14,4,0,0,0,0,9,108,84,130,106,26,0,0,0,0,0,0,0,1,11,3,0,0,0,0,6,11,5,0,0,0,0,0,0,0,6,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,108,55,225,193,95,0,0,0,0,57,290,172,469,314,84,0,0,0,0,6,108,55,225,193,95,0,13,67,1,77,274,161,383,235,55,0,0,0,0,49,131,66,166,167,59
Cooley,125,119120977,0,0,0,0,0,0,0,782,1777,625,0,0,0,0,0,0,0,537,918,371,0,0,0,0,0,0,0,1803,4947,22125,0,0,0,0,0,0,0,13,35,6,0,0,0,0,0,0,0,423,1385,496,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,316,155,0,0,0,0,0,0,0,487,959,344,0,0,0,0,0,0,0,127,316,155,0,0,0,0,0,0,0,587,1609,561,0,0,0,0,0,0,0,534,1212,403
SRA International,110,18166849,0,0,184,440,350,2,0,0,0,0,0,0,7,8,4,0,0,0,0,0,0,0,0,310,531,1,0,0,0,0,0,0,12,11,3,0,0,0,0,0,0,0,0,86,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,264,192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,358,269,2,0,0,0,0,0,0,0,2,47,2,0,0,0,0
Ultimate Software,23,376206322,0,0,0,0,84,258,101,368,475,190,0,0,0,0,0,0,1,26,178,119,0,0,0,0,9,0,17,99,229,93,0,0,0,0,0,0,1,2,6,4,0,0,0,0,3,0,1,12,28,3,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,69,8,0,0,0,0,82,258,97,329,456,187,0,0,0,0,0,0,1,17,69,8,0,0,0,0,3,0,4,39,69,11,0,0,0,0,83,258,101,342,389,180
The Cheesecake Factory,121,2850334863,0,0,0,0,0,0,0,0,0,1373,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,1372,0,0,0,0,0,0,0,0,0,1357,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1373
Scottrade,29,16004376,0,0,0,0,0,0,0,0,2100,1140,0,0,0,0,0,0,0,0,2937,2125,0,0,0,0,0,0,0,0,1635,691,0,0,0,0,0,0,0,0,1150,622,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,39,0,0,0,0,0,0,0,0,265,144,0,0,0,0,0,0,0,0,102,39,0,0,0,0,0,0,0,0,1370,750,0,0,0,0,0,0,0,0,1027,563
Stew Leonard's,91,23794152,0,0,0,0,0,0,0,901,1660,623,0,0,0,0,0,0,0,471,1508,830,0,0,0,0,0,0,0,855,1871,772,0,0,0,0,0,0,0,449,489,82,0,0,0,0,0,0,0,289,669,333,0,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,229,100,21,0,0,0,0,0,0,0,229,100,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,631,265,0,0,0,0,0,0,0,266,597,280,0,0,0,0,0,0,0,214,631,265,0,0,0,0,0,0,0,783,1278,459,0,0,0,0,0,0,0,133,432,243
Intel,41,2803191,0,0,0,0,0,0,0,329,2196,719,0,0,0,0,0,0,0,18278,237543,196851,0,0,0,0,0,0,0,9618,145097,108593,0,0,0,0,0,0,0,229,1229,127,0,0,0,0,0,0,0,9,129,76,0,0,0,0,0,0,0,0,16,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,694,442,0,0,0,0,0,0,0,111,1097,580,0,0,0,0,0,0,0,57,694,442,0,0,0,0,0,0,0,257,1585,465,0,0,0,0,0,0,0,98,700,328
Sheetz,120,14813584,0,0,0,0,0,0,0,0,0,3241,0,0,0,0,0,0,0,0,0,21763,0,0,0,0,0,0,0,0,0,10645,0,0,0,0,0,0,0,0,0,2841,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,2880,0,0,0,0,0,0,0,0,0,465
Balfour Beatty Construction,39,295763337,0,0,0,0,49,83,224,352,221,133,0,0,0,0,6,13,161,390,445,693,0,0,0,0,585,366,765,1927,1649,1034,0,0,0,0,2,10,53,98,14,5,0,0,0,0,22,20,42,122,136,59,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,74,89,58,0,0,0,0,17,15,102,165,97,69,0,0,0,0,0,7,31,74,89,58,0,0,0,0,30,38,135,268,184,85,0,0,0,0,19,52,133,181,136,87
Discovery Communications,118,22061951,0,0,0,0,0,0,0,1215,1566,441,0,0,0,0,0,0,0,2587,8937,3436,0,0,0,0,0,0,0,17447,32681,11064,0,0,0,0,0,0,0,360,234,11,0,0,0,0,0,0,0,217,356,123,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,1022,316,0,0,0,0,0,0,0,720,845,224,0,0,0,0,0,0,0,436,1022,316,0,0,0,0,0,0,0,1144,1484,407,0,0,0,0,0,0,0,925,1180,332
