Company Name,twitteruserid,id,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 favoriteCount,2008 favoriteCount,2009 favoriteCount,2010 favoriteCount,2011 favoriteCount,2012 favoriteCount,2013 favoriteCount,2014 favoriteCount,2015 favoriteCount,2016 favoriteCount,2007 retweetCount,2008 retweetCount,2009 retweetCount,2010 retweetCount,2011 retweetCount,2012 retweetCount,2013 retweetCount,2014 retweetCount,2015 retweetCount,2016 retweetCount,2007 isReply,2008 isReply,2009 isReply,2010 isReply,2011 isReply,2012 isReply,2013 isReply,2014 isReply,2015 isReply,2016 isReply,2007 isRetweet,2008 isRetweet,2009 isRetweet,2010 isRetweet,2011 isRetweet,2012 isRetweet,2013 isRetweet,2014 isRetweet,2015 isRetweet,2016 isRetweet,2007 isStatusQuote,2008 isStatusQuote,2009 isStatusQuote,2010 isStatusQuote,2011 isStatusQuote,2012 isStatusQuote,2013 isStatusQuote,2014 isStatusQuote,2015 isStatusQuote,2016 isStatusQuote,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCoords,2008 hasCoords,2009 hasCoords,2010 hasCoords,2011 hasCoords,2012 hasCoords,2013 hasCoords,2014 hasCoords,2015 hasCoords,2016 hasCoords,2007 possiblySensitive,2008 possiblySensitive,2009 possiblySensitive,2010 possiblySensitive,2011 possiblySensitive,2012 possiblySensitive,2013 possiblySensitive,2014 possiblySensitive,2015 possiblySensitive,2016 possiblySensitive,2007 hasExtendedMediaEntities,2008 hasExtendedMediaEntities,2009 hasExtendedMediaEntities,2010 hasExtendedMediaEntities,2011 hasExtendedMediaEntities,2012 hasExtendedMediaEntities,2013 hasExtendedMediaEntities,2014 hasExtendedMediaEntities,2015 hasExtendedMediaEntities,2016 hasExtendedMediaEntities,2007 hasHashtagEntities,2008 hasHashtagEntities,2009 hasHashtagEntities,2010 hasHashtagEntities,2011 hasHashtagEntities,2012 hasHashtagEntities,2013 hasHashtagEntities,2014 hasHashtagEntities,2015 hasHashtagEntities,2016 hasHashtagEntities,2007 hasMediaEntities,2008 hasMediaEntities,2009 hasMediaEntities,2010 hasMediaEntities,2011 hasMediaEntities,2012 hasMediaEntities,2013 hasMediaEntities,2014 hasMediaEntities,2015 hasMediaEntities,2016 hasMediaEntities,2007 hasMentionEntities,2008 hasMentionEntities,2009 hasMentionEntities,2010 hasMentionEntities,2011 hasMentionEntities,2012 hasMentionEntities,2013 hasMentionEntities,2014 hasMentionEntities,2015 hasMentionEntities,2016 hasMentionEntities,2007 hasUrlEntities,2008 hasUrlEntities,2009 hasUrlEntities,2010 hasUrlEntities,2011 hasUrlEntities,2012 hasUrlEntities,2013 hasUrlEntities,2014 hasUrlEntities,2015 hasUrlEntities,2016 hasUrlEntities
USAA,18,89375474,0,0,0,157,203,363,314,390,388,227,0,0,0,0,6,26,52,274,606,278,0,0,0,9,60,154,3264,1059,1093,178,0,0,0,17,10,16,54,38,36,94,0,0,0,1,5,7,25,34,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,70,131,52,0,0,0,72,132,291,225,299,258,103,0,0,0,0,0,9,17,70,131,52,0,0,0,39,47,46,106,227,225,134,0,0,0,0,58,324,252,312,342,118
Microsoft,71,14344319,0,0,0,0,0,0,0,1012,1546,661,0,0,0,0,0,0,0,3380,7578,5597,0,0,0,0,0,0,0,29238,77792,10813,0,0,0,0,0,0,0,420,585,209,0,0,0,0,0,0,0,186,268,66,0,0,0,0,0,0,0,0,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,435,231,0,0,0,0,0,0,0,453,784,340,0,0,0,0,0,0,0,278,435,231,0,0,0,0,0,0,0,756,1106,357,0,0,0,0,0,0,0,592,858,424
JM Family Enterprises,16,2151027474,0,0,0,0,0,0,0,698,34,61,0,0,0,0,0,0,0,20,1,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652,34,55,0,0,0,0,0,0,0,652,34,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,34,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,34,61
QuikTrip,62,1154321220,0,0,0,0,0,0,0,0,2213,1022,0,0,0,0,0,0,0,0,6991,4746,0,0,0,0,0,0,0,0,4828,2311,0,0,0,0,0,0,0,0,1772,803,0,0,0,0,0,0,0,0,19,13,0,0,0,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,137,0,0,0,0,0,0,0,0,269,163,0,0,0,0,0,0,0,0,268,137,0,0,0,0,0,0,0,0,1752,827,0,0,0,0,0,0,0,0,237,39
David Weekley Homes,111,25389817,0,0,0,0,0,139,331,853,962,299,0,0,0,0,0,11,87,895,851,400,0,0,0,0,0,66,847,523,556,198,0,0,0,0,0,33,33,136,202,61,0,0,0,0,0,16,78,68,72,32,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,101,462,569,195,0,0,0,0,0,26,112,71,318,163,0,0,0,0,0,24,101,462,569,195,0,0,0,0,0,54,129,217,318,109,0,0,0,0,0,62,210,331,380,151
Robert W. Baird,19,190025356,0,0,0,0,381,569,803,666,442,125,0,0,0,0,7,16,118,307,289,187,0,0,0,0,276,338,639,804,911,335,0,0,0,0,48,125,242,115,49,11,0,0,0,0,21,71,142,147,155,32,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,26,79,68,29,0,0,0,0,151,379,517,488,327,76,0,0,0,0,1,10,26,79,68,29,0,0,0,0,159,360,602,442,317,83,0,0,0,0,144,306,456,400,232,71
Boston Consulting Group,2,501801749,0,0,0,0,0,0,0,1043,1833,349,0,0,0,0,0,0,0,2298,10829,18818,0,0,0,0,0,0,0,5124,21801,17292,0,0,0,0,0,0,0,16,20,2,0,0,0,0,0,0,0,294,688,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1094,315,0,0,0,0,0,0,0,843,1506,261,0,0,0,0,0,0,0,151,1094,315,0,0,0,0,0,0,0,491,1004,125,0,0,0,0,0,0,0,647,1325,272
TEKsystems,113,3431881523,0,0,0,0,0,0,0,0,206,62,0,0,0,0,0,0,0,0,48,51,0,0,0,0,0,0,0,0,30,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,174,37,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,9,45,0,0,0,0,0,0,0,0,205,20
Build-A-Bear Workshop,58,14997308,0,0,0,0,0,0,0,1854,1013,362,0,0,0,0,0,0,0,5671,10429,2530,0,0,0,0,0,0,0,8397,6395,1728,0,0,0,0,0,0,0,1064,513,261,0,0,0,0,0,0,0,293,75,11,0,0,0,0,0,0,0,0,46,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495,334,79,0,0,0,0,0,0,0,665,346,56,0,0,0,0,0,0,0,495,334,79,0,0,0,0,0,0,0,1385,712,282,0,0,0,0,0,0,0,603,427,137
Brocade Communications Systems,96,3060602845,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
