Company Name,fbId,fbPhotoId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 hasEvent,2008 hasEvent,2009 hasEvent,2010 hasEvent,2011 hasEvent,2012 hasEvent,2013 hasEvent,2014 hasEvent,2015 hasEvent,2016 hasEvent,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater
JM Family Enterprises,215824265320,40532,0,0,0,0,9,958,487,440,246,142,0,0,0,0,0,183,280,232,153,156,0,0,0,0,11,2022,4188,5700,5007,2815,0,0,0,0,11,2022,4188,5700,5007,2958,0,0,0,0,6,628,266,309,50,0,0,0,0,0,4,81,94,276,77,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,197,70,80,10
David Weekley Homes,8146864018,175439,0,35,1,15,331,74,291,795,786,359,0,10,0,2,58,280,1145,3686,5687,3195,0,79,1,28,392,1644,9611,18051,23309,20504,0,79,1,28,392,1644,9611,18051,23315,20915,0,0,0,0,0,0,0,0,3,0,0,35,0,13,324,67,289,607,346,103,0,0,0,0,0,0,0,0,0,0,0,35,1,0,1,49,201,606,580,331
QuikTrip,5890187327,97035,0,0,0,16,21,81,152,194,268,84,0,0,0,1141,6742,15873,17922,8525,13594,3581,0,0,0,2193,13779,127047,121070,141458,158345,64090,0,0,0,2193,13779,127047,121070,141482,158345,64744,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,75,140,170,229,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,102,116,66,10
Robert W. Baird,148731991811588,45029,0,0,0,1,0,167,404,686,622,28,0,0,0,0,0,8,44,12,22,14,0,0,0,0,0,180,570,513,1438,958,0,0,0,0,0,180,570,513,1438,966,0,0,0,0,0,137,310,400,246,0,0,0,0,0,0,54,48,138,60,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,63,39,108,17
Boston Consulting Group,24961338115,1091,0,0,0,0,0,22,20,94,189,69,0,0,0,0,0,85,22,66,294,95,0,0,0,0,0,1632,910,2860,12305,2418,0,0,0,0,0,1632,910,2860,12305,2444,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,21,20,86,171,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,45,50,7
Brocade Communications Systems,111983056070,148421,0,0,24,36,370,492,437,161,242,82,0,0,4,9,63,73,75,152,66,24,0,0,33,42,372,997,4341,3134,2294,733,0,0,33,42,372,997,4341,3134,2294,755,0,0,0,0,6,108,255,28,80,39,0,0,2,4,89,101,327,112,183,47,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,197,97,82,59,22
Build-A-Bear Workshop,8783725165,95716,10,2,113,154,246,310,252,474,195,112,108,62,1575,6822,11412,19332,15119,8998,6002,2810,138,94,3335,14620,42810,310736,397788,105516,102798,20383,138,94,3338,14626,42810,310738,397788,105519,102880,21488,0,0,0,0,0,19,7,0,16,0,10,2,54,132,196,193,156,202,161,108,0,0,0,0,0,0,0,0,0,0,10,2,0,1,1,99,104,115,110,17
Google,104958162837,738,0,0,1,217,40,66,64,252,77,20,0,0,999,6442,24971,82553,18506,50757,25124,6014,0,0,3862,40591,195919,593654,157094,262867,195548,18000,0,0,3871,40597,195927,593679,157097,262945,195787,18763,0,0,0,0,0,0,0,0,0,5,0,0,0,118,40,56,51,234,75,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,17,28,147,24,0
St. Jude Children's Research Hospital,6435441794,63648,14,0,6,23,247,364,752,487,275,130,92,0,237,530,3612,25066,86513,94454,50592,17660,315,0,1610,6009,46858,1419084,4956787,7190066,2602166,718039,315,0,1610,6009,46858,1419086,4956793,7190123,2602239,743917,0,0,0,0,4,59,8,0,0,0,0,0,4,16,218,318,335,411,213,104,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,37,572,286,94,31
Accenture,20341500871,119386,0,12,109,6,58,46,113,131,281,86,0,2,4,1,36,57,71,50,102,13,0,0,2,0,112,970,1541,1950,2442,388,0,0,2,0,112,970,1541,1950,2442,395,0,0,0,0,0,0,1,0,17,1,0,9,91,6,33,25,87,101,269,86,0,0,0,0,0,0,0,0,0,0,0,12,5,0,1,12,73,60,24,1
Salesforce.com,5634829153,54906,5,1,220,211,1103,1005,610,430,263,39,0,0,91,75,694,5134,8888,1329,920,198,0,5,78,363,2948,46052,180475,31334,14411,2081,0,5,78,363,2948,46052,180475,31334,14415,2147,0,0,0,0,56,186,3,0,0,0,0,0,16,64,872,796,602,409,232,39,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,102,467,193,48,5
Mattel,148757037599,109402,0,0,32,26,94,27,74,31,153,30,0,0,84,76,585,473,1966,252,746,424,0,0,416,246,1757,2726,5549,3399,8159,4522,0,0,416,246,1757,2726,5551,3399,8161,4769,0,0,0,0,1,0,5,4,0,0,0,0,24,25,57,26,67,20,56,13,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,11,56,25,138,29
"ARI, Automotive Resources International",282991730710,177255,0,0,1,1,0,508,319,431,296,225,0,0,0,0,0,7,35,25,35,72,0,0,0,0,0,144,751,940,560,788,0,0,0,0,0,144,751,940,560,825,0,0,0,0,0,45,27,8,1,85,0,0,0,0,0,241,87,41,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,179,80,70,14
