companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Chesapeake Energy,2012,17,71323944,1737,562,7836,631,398,0,0,0,0,86,659,86,1298,880
Chesapeake Energy,2013,17,71323944,387,293,6278,120,120,0,0,0,0,72,147,72,314,219
Chesapeake Energy,2014,17,71323944,260,576,1472,120,68,0,0,0,0,52,104,52,219,116
Chesapeake Energy,2015,17,71323944,75,109,670,34,19,2,0,0,0,18,36,18,61,29
Chesapeake Energy,2016,17,71323944,4,37,16,1,1,0,0,0,0,4,0,4,2,0
USAA,2010,18,89375474,157,0,9,17,1,0,0,0,0,0,72,0,39,0
USAA,2011,18,89375474,203,6,60,10,5,0,0,0,0,0,132,0,47,58
USAA,2012,18,89375474,363,26,154,16,7,0,0,0,0,9,291,9,46,324
USAA,2013,18,89375474,314,52,3264,54,25,0,0,0,0,17,225,17,106,252
USAA,2014,18,89375474,390,274,1059,38,34,0,0,0,0,70,299,70,227,312
USAA,2015,18,89375474,388,606,1093,36,23,3,0,0,0,131,258,131,225,342
USAA,2016,18,89375474,227,278,178,94,0,0,0,0,0,52,103,52,134,118
Robert W. Baird,2011,19,190025356,381,7,276,48,21,0,0,0,0,1,151,1,159,144
Robert W. Baird,2012,19,190025356,569,16,338,125,71,0,0,0,0,10,379,10,360,306
Robert W. Baird,2013,19,190025356,803,118,639,242,142,0,0,0,0,26,517,26,602,456
Robert W. Baird,2014,19,190025356,666,307,804,115,147,0,0,0,0,79,488,79,442,400
Robert W. Baird,2015,19,190025356,442,289,911,49,155,1,0,0,0,68,327,68,317,232
Robert W. Baird,2016,19,190025356,125,187,335,11,32,5,0,0,0,29,76,29,83,71
Container Store,2015,20,92293468,2174,3318,5146,1420,84,0,0,0,0,412,548,412,1509,632
Container Store,2016,20,92293468,1067,1304,1830,832,17,1,0,0,0,159,411,159,862,245
Qualcomm,2014,21,2344213357,244,83,5325,12,143,0,0,0,0,163,140,163,163,94
Qualcomm,2015,21,2344213357,247,19,10297,1,191,1,0,0,0,175,152,175,193,149
Alston & Bird,2009,22,50308751,17,1,0,0,0,0,0,0,0,0,0,0,0,0
Alston & Bird,2010,22,50308751,31,0,10,0,0,0,0,0,0,0,0,0,1,0
Alston & Bird,2011,22,50308751,64,0,18,0,0,0,0,0,0,0,1,0,1,22
Alston & Bird,2012,22,50308751,119,4,51,0,8,0,0,0,0,2,9,2,10,99
Alston & Bird,2013,22,50308751,154,15,45,4,13,0,0,0,0,4,49,4,23,138
Alston & Bird,2014,22,50308751,361,57,289,5,125,0,0,0,0,17,234,17,170,342
Alston & Bird,2015,22,50308751,449,115,576,0,146,0,0,0,0,24,220,24,289,433
Alston & Bird,2016,22,50308751,151,43,243,0,64,0,0,0,0,8,91,8,111,143
Ultimate Software,2011,23,376206322,84,0,9,0,3,0,0,0,0,0,82,0,3,83
Ultimate Software,2012,23,376206322,258,0,0,0,0,0,0,0,0,0,258,0,0,258
Ultimate Software,2013,23,376206322,101,1,17,1,1,0,0,0,0,1,97,1,4,101
Ultimate Software,2014,23,376206322,368,26,99,2,12,0,0,0,0,17,329,17,39,342
Ultimate Software,2015,23,376206322,475,178,229,6,28,5,0,0,0,69,456,69,69,389
Ultimate Software,2016,23,376206322,190,119,93,4,3,1,0,0,0,8,187,8,11,180
Burns & McDonnell,2014,24,288966461,701,36,41,47,0,0,128,128,0,85,554,85,454,645
Burns & McDonnell,2015,24,288966461,1777,217,174,94,1,0,270,270,0,1295,764,1295,1332,1646
Burns & McDonnell,2016,24,288966461,738,81,39,10,0,0,262,262,0,692,335,692,387,726
Salesforce.com,2014,25,2813981915,40,98,160,3,25,0,0,0,0,5,34,5,27,33
