companyString,date,fbId,fbPhotoId,count(*),commentsCount,likesCount,reactionsCount,hasPlace,hasCaption,hasEvent,updatedLater
KPMG,2014-01,274830721660,126068,226,32,505,505,198,222,0,4
Four Seasons Hotels,2012-02,106280431030,142353,222,792,11384,11384,91,222,0,0
American Express,2009-12,6185812851,89020,214,58,325,325,0,214,0,0
Brocade Communications Systems,2013-05,111983056070,147227,214,3,464,464,193,134,0,15
KPMG,2014-10,274830721660,124276,213,2,154,154,208,41,0,2
Baptist Health South Florida,2012-12,127900310965,69651,212,17,480,480,80,6,0,3
Mercedes-Benz USA,2013-09,6604386669,30450,212,10148,852469,852474,0,209,0,0
"ARI, Automotive Resources International",2012-10,282991730710,176877,212,2,5,5,3,179,0,163
KPMG,2013-09,274830721660,126915,210,17,296,296,195,186,0,2
Mercedes-Benz USA,2012-11,6604386669,32186,209,17000,811243,811243,0,155,0,59
Nordstrom,2012-07,12854644836,91637,209,10647,222013,222013,0,191,0,1
Container Store,2011-08,59375573322,47466,206,132,241,241,0,170,0,0
Mercedes-Benz USA,2014-10,6604386669,27172,204,6214,562204,562226,0,180,0,2
CHG Healthcare Services,2015-10,32264600947,14206,203,40,1016,1016,1,12,0,95
Mercedes-Benz USA,2014-11,6604386669,26965,202,5435,385215,385220,0,189,0,2
Mercedes-Benz USA,2015-02,6604386669,26364,201,3177,264576,264598,0,198,0,2
Robert W. Baird,2014-12,148731991811588,43772,201,0,30,30,4,3,0,4
Zappos.com,2012-10,7172307686,21051,201,2066,17016,17016,88,120,0,53
World Wide Technology,2011-03,75577218799,79683,200,5,3,3,0,0,0,0
LifeBridge Health,2016-01,193538150681786,161131,200,63,1560,1560,53,191,0,23
Robert W. Baird,2015-06,148731991811588,43243,200,5,63,63,25,2,0,51
Four Seasons Hotels,2011-08,106280431030,144145,197,600,5252,5252,0,171,0,1
Southern Ohio Medical Center,2014-10,220886824589689,59354,197,47,499,499,60,20,0,2
Navy Federal Credit Union,2013-07,160344204010636,131349,197,854,18371,18371,189,197,0,1
USAA,2011-11,161179599992,42886,197,76,145,145,0,1,0,0
Mercedes-Benz USA,2015-08,6604386669,25284,196,2415,175902,175920,0,186,0,0
Robert W. Baird,2013-06,148731991811588,44493,196,13,95,95,154,4,0,31
Mercedes-Benz USA,2014-12,6604386669,26757,195,6402,448707,448713,0,190,0,2
Mercedes-Benz USA,2015-07,6604386669,25480,194,1703,150603,150611,1,193,0,5
Mercedes-Benz USA,2015-01,6604386669,26565,192,5453,369637,369648,0,189,0,3
American Express,2009-09,6185812851,89251,190,27,197,197,0,70,0,0
Baptist Health South Florida,2012-05,127900310965,70039,187,27,444,444,161,14,0,0
KPMG,2014-11,274830721660,124089,187,20,156,156,147,58,0,0
Mercedes-Benz USA,2016-03,6604386669,23708,187,1243,67192,70996,0,187,0,92
Four Seasons Hotels,2012-12,106280431030,141034,185,1638,45916,45916,70,185,0,9
Mercedes-Benz USA,2015-05,6604386669,25857,184,3870,260414,260419,0,180,0,2
Four Seasons Hotels,2012-06,106280431030,141821,183,2476,101216,101216,73,162,0,0
Four Seasons Hotels,2011-07,106280431030,144342,183,631,4246,4246,0,170,0,0
Mercedes-Benz USA,2015-06,6604386669,25674,183,2507,186803,186832,0,183,0,1
KPMG,2014-08,274830721660,124529,182,5,206,206,99,99,0,3
Mercedes-Benz USA,2013-08,6604386669,30664,181,15121,1256073,1256103,0,165,0,0
KPMG,2015-03,274830721660,123500,180,7,180,180,108,177,0,2
Mercedes-Benz USA,2016-02,6604386669,23889,179,1741,107364,109525,0,178,0,100
Nordstrom,2012-09,12854644836,91356,179,11963,228531,228531,0,167,0,28
CHG Healthcare Services,2016-02,32264600947,13604,178,26,628,631,1,49,0,71
Four Seasons Hotels,2011-06,106280431030,144525,178,742,5848,5848,4,160,0,0
OhioHealth,2013-12,40814021698,114201,178,47,576,576,147,30,0,26
Mercedes-Benz USA,2013-01,6604386669,31856,177,17677,819523,819526,0,174,0,12
Hitachi Data Systems,2014-08,124570004251813,111095,177,132,2161,2161,0,174,0,10
JM Family Enterprises,2014-08,215824265320,38728,175,28,575,575,131,80,0,9
JM Family Enterprises,2012-06,215824265320,39959,174,5,165,165,46,8,0,0
LifeBridge Health,2013-10,193538150681786,162608,174,22,389,389,141,96,0,40
Texas Instruments,2013-06,234443101357,169123,173,104,3149,3149,103,74,0,62
Zappos.com,2013-09,7172307686,18512,172,860,68786,68786,30,172,0,87
Methodist Hospital System,2013-10,113508065350010,81914,171,6,77,77,151,9,0,3
Mercedes-Benz USA,2015-03,6604386669,26193,171,3361,304939,304948,0,161,0,3
Mercedes-Benz USA,2013-11,6604386669,30127,170,7487,541492,541494,0,160,0,0
OhioHealth,2015-11,40814021698,112728,168,96,1693,1693,1,18,0,17
JM Family Enterprises,2012-05,215824265320,40030,167,28,264,264,124,6,0,5
JM Family Enterprises,2012-03,215824265320,40340,167,48,170,170,161,4,0,0
Salesforce.com,2012-01,5634829153,53206,166,306,1405,1405,48,72,0,0
KPMG,2014-04,274830721660,125514,166,5,235,235,145,117,0,7
Texas Instruments,2014-09,234443101357,167722,166,99,15631,15631,72,144,0,58
Zappos.com,2013-10,7172307686,18348,164,1504,86351,86351,35,161,0,67
Navy Federal Credit Union,2016-04,160344204010636,129750,164,236,4629,4817,1,13,0,7
CHG Healthcare Services,2016-03,32264600947,13441,163,34,676,694,10,6,0,62
CHG Healthcare Services,2016-04,32264600947,13280,161,18,703,720,68,11,0,105
Ultimate Software,2013-03,29660886831,50154,161,38,650,650,0,12,0,158
Chesapeake Energy,2010-04,201579567564,41994,160,21,17,17,0,155,0,0
Hitachi Data Systems,2015-12,124570004251813,110778,160,31,483,483,41,13,0,13
Navy Federal Credit Union,2014-04,160344204010636,130828,159,223,7323,7323,0,11,0,140
Zappos.com,2009-11,7172307686,23020,158,95,56,56,0,1,0,6
Salesforce.com,2011-08,5634829153,53924,158,144,554,554,0,139,0,0
Mercedes-Benz USA,2015-10,6604386669,24851,157,1179,97415,97444,0,132,0,121
Mercedes-Benz USA,2015-04,6604386669,26036,157,3837,461516,461518,0,153,0,8
OhioHealth,2014-08,40814021698,113548,156,11,387,387,106,156,0,16
LifeBridge Health,2016-03,193538150681786,160826,155,7,353,357,0,152,0,15
Salesforce.com,2011-06,5634829153,54082,155,93,470,470,0,86,0,0
Southern Ohio Medical Center,2013-06,220886824589689,60405,154,65,913,914,82,14,0,70
Southern Ohio Medical Center,2012-10,220886824589689,60780,154,85,1089,1089,124,55,0,41
Hitachi Data Systems,2013-08,124570004251813,111432,153,79,1531,1531,0,150,0,3
Stew Leonard's,2013-09,33439252677,136692,153,2762,4459,4459,9,48,0,32
Mercedes-Benz USA,2012-12,6604386669,32033,153,17665,996090,996099,0,141,0,21
Stew Leonard's,2016-04,33439252677,133852,152,223,1987,2130,31,75,0,134
Quicken Loans,2015-12,435141649940642,16005,152,4,71,71,103,19,0,2
KPMG,2012-09,274830721660,128988,152,10,275,275,148,148,0,1
OhioHealth,2013-05,40814021698,115350,151,16,681,681,0,34,0,120
National Instruments,2014-06,19822934020,72932,151,41,1869,1869,0,13,0,8
KPMG,2014-02,274830721660,125917,151,10,221,221,142,149,0,8
LifeBridge Health,2016-02,193538150681786,160981,150,25,594,597,1,124,0,24
Mercedes-Benz USA,2013-07,6604386669,30845,150,19055,1115039,1115040,1,136,0,0
Four Seasons Hotels,2012-07,106280431030,141672,149,1661,36181,36181,30,149,0,0
Salesforce.com,2013-08,5634829153,51896,149,144,3261,3261,0,148,0,135
Four Seasons Hotels,2012-08,106280431030,141523,149,1473,36541,36541,110,149,0,1
Southern Ohio Medical Center,2015-05,220886824589689,59014,148,134,1018,1018,0,15,0,9
Brocade Communications Systems,2012-05,111983056070,147799,148,3,37,37,71,3,0,2
JM Family Enterprises,2013-06,215824265320,39308,147,22,194,194,144,2,0,40
Nordstrom,2013-02,12854644836,91019,145,60871,303297,303297,11,144,0,21
Stew Leonard's,2015-09,33439252677,134812,145,586,5280,5280,53,73,0,81
World Wide Technology,2012-11,75577218799,79182,144,0,7,7,143,0,0,1
OhioHealth,2014-09,40814021698,113410,144,15,574,574,26,72,0,23
World Wide Technology,2013-04,75577218799,78934,144,24,692,692,0,14,0,125
CHG Healthcare Services,2016-05,32264600947,13137,143,5,315,322,13,12,0,68
KPMG,2012-07,274830721660,129303,143,27,299,299,114,49,0,0
Mercedes-Benz USA,2012-10,6604386669,32395,142,8313,405558,405558,0,118,0,39
Mercedes-Benz USA,2013-10,6604386669,30301,142,7732,580497,580508,0,116,0,0
LifeBridge Health,2013-07,193538150681786,162870,142,120,634,634,68,38,0,67
David Weekley Homes,2014-08,8146864018,174208,140,513,1379,1379,0,64,0,114
Nordstrom,2010-07,12854644836,92681,140,623,2451,2451,0,37,0,0
KPMG,2013-01,274830721660,128653,138,35,428,428,114,138,0,1
LifeBridge Health,2016-05,193538150681786,160556,136,19,403,414,0,127,0,19
Texas Instruments,2015-01,234443101357,167334,135,52,58734,58734,0,135,0,8
LifeBridge Health,2016-04,193538150681786,160691,134,7,373,376,1,96,0,33
Four Seasons Hotels,2012-03,106280431030,142219,134,1490,19281,19281,44,133,0,1
Navy Federal Credit Union,2013-12,160344204010636,131028,134,109,4550,4550,0,14,0,25
KPMG,2013-04,274830721660,128365,133,5,124,124,89,98,0,2
Stew Leonard's,2015-11,33439252677,134566,133,769,5709,5709,14,86,0,88
OhioHealth,2012-10,40814021698,115786,131,66,669,669,64,66,0,11
Southern Ohio Medical Center,2015-10,220886824589689,58617,131,246,958,958,1,12,0,3
Aéropostale,2012-12,57143807607,153201,131,7086,758315,758315,54,131,0,10
Aéropostale,2013-08,57143807607,152419,131,6070,834302,834309,0,120,0,5
Salesforce.com,2011-10,5634829153,53468,130,108,529,529,1,100,0,0
CHG Healthcare Services,2016-01,32264600947,13782,128,14,314,314,12,10,0,71
WellStar Health System,2014-09,94455639888,178217,128,277,4307,4307,24,46,0,40
Mayo Clinic,2015-03,7673082516,101674,127,1865,75276,75276,0,127,0,67
Mayo Clinic,2014-08,7673082516,102467,126,1517,64189,64189,0,126,0,106
Southern Ohio Medical Center,2013-10,220886824589689,60087,125,70,1172,1172,0,10,0,20
Morningstar,2014-06,198056910214033,117151,125,1,4,4,0,125,0,76
Southern Ohio Medical Center,2014-11,220886824589689,59229,125,34,389,389,0,6,0,0
Mayo Clinic,2015-05,7673082516,101437,124,2007,71720,71720,0,124,0,11
Zappos.com,2014-06,7172307686,17546,122,10321,135899,135899,0,101,0,50
JM Family Enterprises,2016-03,215824265320,38330,122,19,935,965,0,78,0,4
Microsoft,2013-04,9298666412,106541,122,423,4456,4456,99,23,0,1
Stew Leonard's,2015-12,33439252677,134427,122,1404,5300,5300,19,75,0,96
Mayo Clinic,2014-09,7673082516,102346,121,1553,59202,59203,0,121,0,86
Zappos.com,2013-02,7172307686,19244,121,1277,18958,18958,0,121,0,48
Mercedes-Benz USA,2013-06,6604386669,30995,121,13792,1088428,1088428,0,121,0,0
Salesforce.com,2013-05,5634829153,52131,121,121,2793,2793,0,121,0,102
Mayo Clinic,2014-10,7673082516,102225,121,1406,43637,43637,1,121,0,59
Mercedes-Benz USA,2013-02,6604386669,31735,121,16531,959117,959118,0,95,0,9
Four Seasons Hotels,2011-05,106280431030,144703,121,470,2418,2418,0,86,0,1
Autodesk,2012-12,74463019717,81583,121,25,210,210,0,121,0,5
Stew Leonard's,2014-12,33439252677,135539,119,931,2925,2925,69,59,0,42
Container Store,2009-12,59375573322,48381,119,653,948,948,0,117,0,1
Starbucks,2012-04,22092443056,104503,119,3059,105102,105102,107,119,0,0
Stew Leonard's,2015-08,33439252677,134957,118,620,4917,4917,14,70,0,81
Mercedes-Benz USA,2011-08,6604386669,34506,118,7303,67097,67097,0,98,0,0
Zappos.com,2014-05,7172307686,17668,117,16037,119935,119936,0,117,0,42
Four Seasons Hotels,2012-04,106280431030,142102,117,1037,18662,18663,60,111,0,0
Nordstrom,2010-06,12854644836,92821,116,294,937,937,0,78,0,0
Texas Instruments,2013-05,234443101357,169296,116,135,4110,4110,0,113,0,63
Aéropostale,2013-02,57143807607,153039,115,4292,470582,470582,14,90,0,8
Southern Ohio Medical Center,2013-11,220886824589689,59972,115,107,879,879,0,8,0,37
JM Family Enterprises,2014-06,215824265320,38944,115,54,752,752,109,109,0,6
OhioHealth,2014-01,40814021698,114086,115,25,308,308,94,21,0,19
Mayo Clinic,2015-01,7673082516,101912,115,1432,47794,47794,0,115,0,13
Mayo Clinic,2015-04,7673082516,101561,113,1799,70312,70314,0,113,0,16
OhioHealth,2011-10,40814021698,116528,113,7,39,39,0,29,0,0
Texas Instruments,2014-01,234443101357,168511,113,67,2995,2995,55,110,0,48
Discovery Communications,2012-08,153549641890,182665,113,25,407,407,78,110,0,9
Navy Federal Credit Union,2014-08,160344204010636,130560,113,177,9461,9461,101,113,0,8
Texas Instruments,2014-04,234443101357,168247,113,124,7969,7969,30,113,0,46
Mayo Clinic,2015-10,7673082516,100907,113,2123,74458,74459,0,113,0,11
Four Seasons Hotels,2012-10,106280431030,141326,113,1307,39144,39144,59,113,0,9
World Wide Technology,2010-04,75577218799,80262,113,0,0,0,0,0,0,5
OhioHealth,2014-06,40814021698,113761,112,15,315,315,67,112,0,4
Stew Leonard's,2012-11,33439252677,137365,112,1063,7836,7836,45,64,0,41
Men's Wearhouse,2014-05,199928852452,82703,112,158,3666,3667,0,53,0,19
OhioHealth,2011-04,40814021698,116822,112,25,22,22,0,112,0,0
Novo Nordisk,2012-11,105548031768,72241,112,158,3529,3529,1,111,0,7
Four Seasons Hotels,2013-01,106280431030,140923,111,2765,65921,65921,49,110,0,10
Nordstrom,2012-08,12854644836,91535,111,32714,294881,294882,1,107,0,16
Mayo Clinic,2015-02,7673082516,101801,111,1579,65070,65071,0,111,0,76
Grainger,2015-06,265544390144768,157227,111,0,44,44,105,6,0,1
Texas Instruments,2015-03,234443101357,167122,111,67,33676,33676,21,109,0,43
Brocade Communications Systems,2011-09,111983056070,148118,111,1,16,16,0,30,0,0
Four Seasons Hotels,2013-12,106280431030,140170,111,750,21050,21050,58,63,0,8
Aéropostale,2013-07,57143807607,152550,110,5905,812021,812041,0,91,0,2
"ARI, Automotive Resources International",2016-03,282991730710,175578,110,13,446,465,41,3,0,2
Southern Ohio Medical Center,2015-08,220886824589689,58788,110,34,653,653,0,19,0,3
MITRE,2009-11,151373044800,156938,109,148,329,329,0,84,0,0
Robert W. Baird,2012-06,148731991811588,44874,109,0,3,3,101,28,0,2
WellStar Health System,2009-06,94455639888,179477,109,3,15,15,0,5,0,2
WellStar Health System,2014-03,94455639888,178613,109,175,3354,3354,40,67,0,62
Mercedes-Benz USA,2013-04,6604386669,31374,109,18376,1208857,1208858,0,103,0,5
Aéropostale,2013-03,57143807607,152930,109,5892,808328,808328,0,108,0,13
SAS,2014-10,140344030787,1157,108,108,3144,3144,107,0,0,0
Navy Federal Credit Union,2014-05,160344204010636,130720,108,243,15041,15041,69,30,0,17
Robert W. Baird,2014-10,148731991811588,43974,108,0,55,55,102,107,0,5
Chesapeake Energy,2013-08,201579567564,40794,108,70,1080,1080,17,96,0,36
Southern Ohio Medical Center,2012-05,220886824589689,61197,108,0,1,1,104,0,0,0
Southern Ohio Medical Center,2015-11,220886824589689,58509,108,22,574,574,0,8,0,0
Four Seasons Hotels,2012-11,106280431030,141219,107,1763,47445,47445,26,107,0,8
David Weekley Homes,2016-03,8146864018,172915,107,1200,3798,3943,0,22,0,102
St. Jude Children's Research Hospital,2012-01,6435441794,63272,106,486,9478,9478,47,74,0,0
Zappos.com,2013-05,7172307686,18955,106,1817,60915,60915,0,106,0,51
Southern Ohio Medical Center,2012-09,220886824589689,60934,106,17,383,383,97,14,0,12
Baptist Health South Florida,2013-12,127900310965,69093,106,15,429,429,81,19,0,11
Mayo Clinic,2015-08,7673082516,101121,106,1403,57687,57687,1,106,0,5
Mayo Clinic,2015-06,7673082516,101331,106,2407,78583,78583,0,106,0,9
American Express,2013-02,6185812851,88034,106,1118,13183,13183,1,104,0,97
Texas Instruments,2013-01,234443101357,169655,105,251,4102,4102,37,104,0,66
Four Seasons Hotels,2014-03,106280431030,139984,105,460,16209,16209,9,105,0,2
Southern Ohio Medical Center,2016-05,220886824589689,58294,105,30,398,408,0,29,0,1
OhioHealth,2014-05,40814021698,113872,105,17,448,448,50,105,0,4
JM Family Enterprises,2013-01,215824265320,39524,105,24,411,411,0,6,0,103
Stew Leonard's,2015-07,33439252677,135075,104,590,4944,4944,19,60,0,90
Navy Federal Credit Union,2013-05,160344204010636,131637,104,795,41811,41812,0,32,0,77
Aéropostale,2013-06,57143807607,152660,103,6174,681547,681551,0,89,0,5
Mayo Clinic,2015-11,7673082516,100804,103,2015,66024,66024,0,103,0,5
Mayo Clinic,2015-07,7673082516,101228,103,1847,63648,63648,0,102,0,8
Mayo Clinic,2014-12,7673082516,102027,103,868,32698,32698,0,103,0,0
Stew Leonard's,2014-11,33439252677,135658,103,485,2803,2803,71,35,0,27
Chesapeake Energy,2011-09,201579567564,41340,103,18,63,63,0,67,0,0
Texas Instruments,2015-06,234443101357,166856,103,82,23299,23299,7,101,0,3
Mayo Clinic,2015-09,7673082516,101020,102,1864,52417,52417,1,102,0,6
Zappos.com,2013-12,7172307686,18152,102,1385,83253,83253,0,99,0,36
OhioHealth,2013-06,40814021698,115248,102,61,662,662,63,68,0,6
Texas Instruments,2013-10,234443101357,168791,101,270,20417,20417,0,98,0,72
Baptist Health South Florida,2013-02,127900310965,69473,101,35,459,459,92,9,0,8
Zappos.com,2013-08,7172307686,18684,101,1837,91140,91140,0,100,0,73
Stew Leonard's,2012-12,33439252677,137264,101,579,5179,5179,52,74,0,46
Texas Instruments,2015-02,234443101357,167233,100,55,16488,16488,27,98,0,53
Stew Leonard's,2014-04,33439252677,136180,100,1524,3465,3465,22,66,0,54
Zappos.com,2013-04,7172307686,19061,100,1348,52771,52771,0,100,0,51
Zappos.com,2014-03,7172307686,17871,99,2788,126327,126327,0,98,0,46
Ultimate Software,2010-04,29660886831,50662,98,3,33,33,0,34,0,20
SRA International,2011-11,45726451297,172597,98,9,12,12,0,0,0,1
Texas Instruments,2013-04,234443101357,169412,98,118,2859,2859,41,98,0,48
Zappos.com,2014-07,7172307686,17448,98,7794,205397,205397,0,98,0,39
Texas Instruments,2014-06,234443101357,168059,98,178,24951,24951,0,83,0,57
Four Seasons Hotels,2012-05,106280431030,142004,98,838,22358,22358,28,98,0,0
JM Family Enterprises,2012-04,215824265320,40251,98,20,221,221,87,7,0,0
Zappos.com,2012-11,7172307686,20953,98,1758,13952,13952,0,71,0,79
Mayo Clinic,2014-07,7673082516,102593,97,1036,38753,38753,0,97,0,67
Brocade Communications Systems,2012-09,111983056070,147623,97,9,132,132,1,13,0,87
Southern Ohio Medical Center,2012-12,220886824589689,60642,97,16,300,300,43,11,0,11
Aéropostale,2013-09,57143807607,152323,96,3276,669786,669791,0,89,0,1
Novo Nordisk,2013-11,105548031768,72015,96,38,2200,2200,3,95,0,10
Texas Instruments,2013-11,234443101357,168695,96,243,13112,13112,4,95,0,58
Monsanto,2009-07,44495818682,158685,96,93,85,86,0,5,0,0
Texas Instruments,2013-03,234443101357,169510,96,183,3690,3690,29,96,0,55
Mayo Clinic,2014-11,7673082516,102130,95,1321,43374,43374,0,95,0,14
Texas Instruments,2015-08,234443101357,166696,95,61,8022,8022,0,93,0,5
Salesforce.com,2012-05,5634829153,53007,95,352,2775,2775,0,89,0,0
Mayo Clinic,2016-03,7673082516,100502,95,915,32246,33358,0,95,0,14
Stew Leonard's,2015-10,33439252677,134707,94,388,2974,2974,31,52,0,75
Herman Miller,2009-11,162638622561,166008,94,38,266,266,0,16,0,2
Stew Leonard's,2013-11,33439252677,136544,94,647,5019,5019,9,82,0,47
Aéropostale,2012-03,57143807607,153832,94,16095,54009,54009,0,61,0,0
Stew Leonard's,2014-07,33439252677,135929,94,808,2214,2214,25,47,0,65
World Wide Technology,2012-09,75577218799,79339,94,2,60,60,0,5,0,5
MITRE,2012-02,151373044800,156530,94,123,361,361,0,94,0,0
Zappos.com,2013-11,7172307686,18254,94,2757,66524,66524,0,94,0,51
Four Seasons Hotels,2013-10,106280431030,140324,93,1045,43398,43399,25,93,0,8
Adobe,2012-11,305115773870,66909,93,369,3256,3256,22,91,0,23
Texas Instruments,2014-11,234443101357,167553,93,63,3362,3362,15,93,0,0
Texas Instruments,2014-07,234443101357,167966,93,153,22121,22121,0,93,0,56
The Everett Clinic,2015-07,61452139395,112078,93,87,210,210,25,13,0,37
Nordstrom,2013-07,12854644836,90679,92,7284,444847,444848,0,88,0,21
Monsanto,2009-09,44495818682,158593,92,217,88,88,0,73,0,0
Recreational Equipment (REI),2015-12,9062006483,3104,92,9453,721034,721047,0,86,0,21
Zappos.com,2014-02,7172307686,17970,92,1615,58188,58188,0,92,0,39
Aéropostale,2011-08,57143807607,154223,92,3141,23018,23018,0,10,0,14
LifeBridge Health,2011-10,193538150681786,164121,92,12,54,54,0,56,0,0
Mercedes-Benz USA,2012-07,6604386669,32677,92,7293,223832,223832,0,92,0,0
Container Store,2010-10,59375573322,47960,91,141,210,210,0,74,0,1
Navy Federal Credit Union,2013-06,160344204010636,131546,91,1904,41943,41943,20,67,0,15
Container Store,2012-01,59375573322,47206,91,116,441,441,0,5,0,3
