Company Name,2012-01 hasPlace,2008-12 hasPlace,2012-04 hasPlace,2008-10 hasPlace,2012-05 hasPlace,2008-11 hasPlace,2012-02 hasPlace,2012-03 hasPlace,2012-08 hasPlace,2012-09 hasPlace,2012-06 hasPlace,2012-07 hasPlace,2014-10 hasPlace,2014-12 hasPlace,2014-11 hasPlace,2015-11 hasPlace,2015-10 hasPlace,2015-12 hasPlace,2009-09 hasPlace,2010-09 hasPlace,2010-08 hasPlace,2009-08 hasPlace,2009-07 hasPlace,2009-06 hasPlace,2009-05 hasPlace,2009-04 hasPlace,2009-03 hasPlace,2009-02 hasPlace,2010-01 hasPlace,2009-01 hasPlace,2010-03 hasPlace,2010-02 hasPlace,2010-05 hasPlace,2010-04 hasPlace,2010-07 hasPlace,2010-06 hasPlace,2015-04 hasPlace,2012-11 hasPlace,2012-12 hasPlace,2015-03 hasPlace,2015-02 hasPlace,2012-10 hasPlace,2015-01 hasPlace,2015-08 hasPlace,2009-12 hasPlace,2015-07 hasPlace,2009-11 hasPlace,2015-06 hasPlace,2009-10 hasPlace,2015-05 hasPlace,2015-09 hasPlace,2016-01 hasPlace,2013-12 hasPlace,2016-05 hasPlace,2016-04 hasPlace,2013-10 hasPlace,2016-03 hasPlace,2013-11 hasPlace,2016-02 hasPlace,2013-01 hasPlace,2013-02 hasPlace,2010-10 hasPlace,2007-11 hasPlace,2007-12 hasPlace,2013-05 hasPlace,2010-12 hasPlace,2013-06 hasPlace,2010-11 hasPlace,2013-03 hasPlace,2013-04 hasPlace,2013-09 hasPlace,2013-07 hasPlace,2013-08 hasPlace,2014-03 hasPlace,2014-02 hasPlace,2014-01 hasPlace,2011-11 hasPlace,2011-10 hasPlace,2014-07 hasPlace,2014-06 hasPlace,2011-12 hasPlace,2014-05 hasPlace,2014-04 hasPlace,2014-09 hasPlace,2014-08 hasPlace,2008-09 hasPlace,2008-07 hasPlace,2011-09 hasPlace,2008-08 hasPlace,2008-05 hasPlace,2008-06 hasPlace,2008-03 hasPlace,2008-04 hasPlace,2008-01 hasPlace,2008-02 hasPlace,2011-02 hasPlace,2011-01 hasPlace,2011-04 hasPlace,2011-03 hasPlace,2011-06 hasPlace,2011-05 hasPlace,2011-08 hasPlace,2011-07 hasPlace,2012-01 likesCount,2008-12 likesCount,2012-04 likesCount,2008-10 likesCount,2012-05 likesCount,2008-11 likesCount,2012-02 likesCount,2012-03 likesCount,2012-08 likesCount,2012-09 likesCount,2012-06 likesCount,2012-07 likesCount,2014-10 likesCount,2014-12 likesCount,2014-11 likesCount,2015-11 likesCount,2015-10 likesCount,2015-12 likesCount,2009-09 likesCount,2010-09 likesCount,2010-08 likesCount,2009-08 likesCount,2009-07 likesCount,2009-06 likesCount,2009-05 likesCount,2009-04 likesCount,2009-03 likesCount,2009-02 likesCount,2010-01 likesCount,2009-01 likesCount,2010-03 likesCount,2010-02 likesCount,2010-05 likesCount,2010-04 likesCount,2010-07 likesCount,2010-06 likesCount,2015-04 likesCount,2012-11 likesCount,2012-12 likesCount,2015-03 likesCount,2015-02 likesCount,2012-10 likesCount,2015-01 likesCount,2015-08 likesCount,2009-12 likesCount,2015-07 likesCount,2009-11 likesCount,2015-06 likesCount,2009-10 likesCount,2015-05 likesCount,2015-09 likesCount,2016-01 likesCount,2013-12 likesCount,2016-05 likesCount,2016-04 likesCount,2013-10 likesCount,2016-03 likesCount,2013-11 likesCount,2016-02 likesCount,2013-01 likesCount,2013-02 likesCount,2010-10 likesCount,2007-11 likesCount,2007-12 likesCount,2013-05 likesCount,2010-12 likesCount,2013-06 likesCount,2010-11 likesCount,2013-03 likesCount,2013-04 likesCount,2013-09 likesCount,2013-07 likesCount,2013-08 likesCount,2014-03 likesCount,2014-02 likesCount,2014-01 likesCount,2011-11 likesCount,2011-10 likesCount,2014-07 likesCount,2014-06 likesCount,2011-12 likesCount,2014-05 likesCount,2014-04 likesCount,2014-09 likesCount,2014-08 likesCount,2008-09 likesCount,2008-07 likesCount,2011-09 likesCount,2008-08 likesCount,2008-05 likesCount,2008-06 likesCount,2008-03 likesCount,2008-04 likesCount,2008-01 likesCount,2008-02 likesCount,2011-02 likesCount,2011-01 likesCount,2011-04 likesCount,2011-03 likesCount,2011-06 likesCount,2011-05 likesCount,2011-08 likesCount,2011-07 likesCount,2012-01 reactionsCount,2008-12 reactionsCount,2012-04 reactionsCount,2008-10 reactionsCount,2012-05 reactionsCount,2008-11 reactionsCount,2012-02 reactionsCount,2012-03 reactionsCount,2012-08 reactionsCount,2012-09 reactionsCount,2012-06 reactionsCount,2012-07 reactionsCount,2014-10 reactionsCount,2014-12 reactionsCount,2014-11 reactionsCount,2015-11 reactionsCount,2015-10 reactionsCount,2015-12 reactionsCount,2009-09 reactionsCount,2010-09 reactionsCount,2010-08 reactionsCount,2009-08 reactionsCount,2009-07 reactionsCount,2009-06 reactionsCount,2009-05 reactionsCount,2009-04 reactionsCount,2009-03 reactionsCount,2009-02 reactionsCount,2010-01 reactionsCount,2009-01 reactionsCount,2010-03 reactionsCount,2010-02 reactionsCount,2010-05 reactionsCount,2010-04 reactionsCount,2010-07 reactionsCount,2010-06 reactionsCount,2015-04 reactionsCount,2012-11 reactionsCount,2012-12 reactionsCount,2015-03 reactionsCount,2015-02 reactionsCount,2012-10 reactionsCount,2015-01 reactionsCount,2015-08 reactionsCount,2009-12 reactionsCount,2015-07 reactionsCount,2009-11 reactionsCount,2015-06 reactionsCount,2009-10 reactionsCount,2015-05 reactionsCount,2015-09 reactionsCount,2016-01 reactionsCount,2013-12 reactionsCount,2016-05 reactionsCount,2016-04 reactionsCount,2013-10 reactionsCount,2016-03 reactionsCount,2013-11 reactionsCount,2016-02 reactionsCount,2013-01 reactionsCount,2013-02 reactionsCount,2010-10 reactionsCount,2007-11 reactionsCount,2007-12 reactionsCount,2013-05 reactionsCount,2010-12 reactionsCount,2013-06 reactionsCount,2010-11 reactionsCount,2013-03 reactionsCount,2013-04 reactionsCount,2013-09 reactionsCount,2013-07 reactionsCount,2013-08 reactionsCount,2014-03 reactionsCount,2014-02 reactionsCount,2014-01 reactionsCount,2011-11 reactionsCount,2011-10 reactionsCount,2014-07 reactionsCount,2014-06 reactionsCount,2011-12 reactionsCount,2014-05 reactionsCount,2014-04 reactionsCount,2014-09 reactionsCount,2014-08 reactionsCount,2008-09 reactionsCount,2008-07 reactionsCount,2011-09 reactionsCount,2008-08 reactionsCount,2008-05 reactionsCount,2008-06 reactionsCount,2008-03 reactionsCount,2008-04 reactionsCount,2008-01 reactionsCount,2008-02 reactionsCount,2011-02 reactionsCount,2011-01 reactionsCount,2011-04 reactionsCount,2011-03 reactionsCount,2011-06 reactionsCount,2011-05 reactionsCount,2011-08 reactionsCount,2011-07 reactionsCount,2012-01 commentsCount,2008-12 commentsCount,2012-04 commentsCount,2008-10 commentsCount,2012-05 commentsCount,2008-11 commentsCount,2012-02 commentsCount,2012-03 commentsCount,2012-08 commentsCount,2012-09 commentsCount,2012-06 commentsCount,2012-07 commentsCount,2014-10 commentsCount,2014-12 commentsCount,2014-11 commentsCount,2015-11 commentsCount,2015-10 commentsCount,2015-12 commentsCount,2009-09 commentsCount,2010-09 commentsCount,2010-08 commentsCount,2009-08 commentsCount,2009-07 commentsCount,2009-06 commentsCount,2009-05 commentsCount,2009-04 commentsCount,2009-03 commentsCount,2009-02 commentsCount,2010-01 commentsCount,2009-01 commentsCount,2010-03 commentsCount,2010-02 commentsCount,2010-05 commentsCount,2010-04 commentsCount,2010-07 commentsCount,2010-06 commentsCount,2015-04 commentsCount,2012-11 commentsCount,2012-12 commentsCount,2015-03 commentsCount,2015-02 commentsCount,2012-10 commentsCount,2015-01 commentsCount,2015-08 commentsCount,2009-12 commentsCount,2015-07 commentsCount,2009-11 commentsCount,2015-06 commentsCount,2009-10 commentsCount,2015-05 commentsCount,2015-09 commentsCount,2016-01 commentsCount,2013-12 commentsCount,2016-05 commentsCount,2016-04 commentsCount,2013-10 commentsCount,2016-03 commentsCount,2013-11 commentsCount,2016-02 commentsCount,2013-01 commentsCount,2013-02 commentsCount,2010-10 commentsCount,2007-11 commentsCount,2007-12 commentsCount,2013-05 commentsCount,2010-12 commentsCount,2013-06 commentsCount,2010-11 commentsCount,2013-03 commentsCount,2013-04 commentsCount,2013-09 commentsCount,2013-07 commentsCount,2013-08 commentsCount,2014-03 commentsCount,2014-02 commentsCount,2014-01 commentsCount,2011-11 commentsCount,2011-10 commentsCount,2014-07 commentsCount,2014-06 commentsCount,2011-12 commentsCount,2014-05 commentsCount,2014-04 commentsCount,2014-09 commentsCount,2014-08 commentsCount,2008-09 commentsCount,2008-07 commentsCount,2011-09 commentsCount,2008-08 commentsCount,2008-05 commentsCount,2008-06 commentsCount,2008-03 commentsCount,2008-04 commentsCount,2008-01 commentsCount,2008-02 commentsCount,2011-02 commentsCount,2011-01 commentsCount,2011-04 commentsCount,2011-03 commentsCount,2011-06 commentsCount,2011-05 commentsCount,2011-08 commentsCount,2011-07 commentsCount,2012-01 hasEvent,2008-12 hasEvent,2012-04 hasEvent,2008-10 hasEvent,2012-05 hasEvent,2008-11 hasEvent,2012-02 hasEvent,2012-03 hasEvent,2012-08 hasEvent,2012-09 hasEvent,2012-06 hasEvent,2012-07 hasEvent,2014-10 hasEvent,2014-12 hasEvent,2014-11 hasEvent,2015-11 hasEvent,2015-10 hasEvent,2015-12 hasEvent,2009-09 hasEvent,2010-09 hasEvent,2010-08 hasEvent,2009-08 hasEvent,2009-07 hasEvent,2009-06 hasEvent,2009-05 hasEvent,2009-04 hasEvent,2009-03 hasEvent,2009-02 hasEvent,2010-01 hasEvent,2009-01 hasEvent,2010-03 hasEvent,2010-02 hasEvent,2010-05 hasEvent,2010-04 hasEvent,2010-07 hasEvent,2010-06 hasEvent,2015-04 hasEvent,2012-11 hasEvent,2012-12 hasEvent,2015-03 hasEvent,2015-02 hasEvent,2012-10 hasEvent,2015-01 hasEvent,2015-08 hasEvent,2009-12 hasEvent,2015-07 hasEvent,2009-11 hasEvent,2015-06 hasEvent,2009-10 hasEvent,2015-05 hasEvent,2015-09 hasEvent,2016-01 hasEvent,2013-12 hasEvent,2016-05 hasEvent,2016-04 hasEvent,2013-10 hasEvent,2016-03 hasEvent,2013-11 hasEvent,2016-02 hasEvent,2013-01 hasEvent,2013-02 hasEvent,2010-10 hasEvent,2007-11 hasEvent,2007-12 hasEvent,2013-05 hasEvent,2010-12 hasEvent,2013-06 hasEvent,2010-11 hasEvent,2013-03 hasEvent,2013-04 hasEvent,2013-09 hasEvent,2013-07 hasEvent,2013-08 hasEvent,2014-03 hasEvent,2014-02 hasEvent,2014-01 hasEvent,2011-11 hasEvent,2011-10 hasEvent,2014-07 hasEvent,2014-06 hasEvent,2011-12 hasEvent,2014-05 hasEvent,2014-04 hasEvent,2014-09 hasEvent,2014-08 hasEvent,2008-09 hasEvent,2008-07 hasEvent,2011-09 hasEvent,2008-08 hasEvent,2008-05 hasEvent,2008-06 hasEvent,2008-03 hasEvent,2008-04 hasEvent,2008-01 hasEvent,2008-02 hasEvent,2011-02 hasEvent,2011-01 hasEvent,2011-04 hasEvent,2011-03 hasEvent,2011-06 hasEvent,2011-05 hasEvent,2011-08 hasEvent,2011-07 hasEvent,2012-01 count(*),2008-12 count(*),2012-04 count(*),2008-10 count(*),2012-05 count(*),2008-11 count(*),2012-02 count(*),2012-03 count(*),2012-08 count(*),2012-09 count(*),2012-06 count(*),2012-07 count(*),2014-10 count(*),2014-12 count(*),2014-11 count(*),2015-11 count(*),2015-10 count(*),2015-12 count(*),2009-09 count(*),2010-09 count(*),2010-08 count(*),2009-08 count(*),2009-07 count(*),2009-06 count(*),2009-05 count(*),2009-04 count(*),2009-03 count(*),2009-02 count(*),2010-01 count(*),2009-01 count(*),2010-03 count(*),2010-02 count(*),2010-05 count(*),2010-04 count(*),2010-07 count(*),2010-06 count(*),2015-04 count(*),2012-11 count(*),2012-12 count(*),2015-03 count(*),2015-02 count(*),2012-10 count(*),2015-01 count(*),2015-08 count(*),2009-12 count(*),2015-07 count(*),2009-11 count(*),2015-06 count(*),2009-10 count(*),2015-05 count(*),2015-09 count(*),2016-01 count(*),2013-12 count(*),2016-05 count(*),2016-04 count(*),2013-10 count(*),2016-03 count(*),2013-11 count(*),2016-02 count(*),2013-01 count(*),2013-02 count(*),2010-10 count(*),2007-11 count(*),2007-12 count(*),2013-05 count(*),2010-12 count(*),2013-06 count(*),2010-11 count(*),2013-03 count(*),2013-04 count(*),2013-09 count(*),2013-07 count(*),2013-08 count(*),2014-03 count(*),2014-02 count(*),2014-01 count(*),2011-11 count(*),2011-10 count(*),2014-07 count(*),2014-06 count(*),2011-12 count(*),2014-05 count(*),2014-04 count(*),2014-09 count(*),2014-08 count(*),2008-09 count(*),2008-07 count(*),2011-09 count(*),2008-08 count(*),2008-05 count(*),2008-06 count(*),2008-03 count(*),2008-04 count(*),2008-01 count(*),2008-02 count(*),2011-02 count(*),2011-01 count(*),2011-04 count(*),2011-03 count(*),2011-06 count(*),2011-05 count(*),2011-08 count(*),2011-07 count(*),2012-01 updatedLater,2008-12 updatedLater,2012-04 updatedLater,2008-10 updatedLater,2012-05 updatedLater,2008-11 updatedLater,2012-02 updatedLater,2012-03 updatedLater,2012-08 updatedLater,2012-09 updatedLater,2012-06 updatedLater,2012-07 updatedLater,2014-10 updatedLater,2014-12 updatedLater,2014-11 updatedLater,2015-11 updatedLater,2015-10 updatedLater,2015-12 updatedLater,2009-09 updatedLater,2010-09 updatedLater,2010-08 updatedLater,2009-08 updatedLater,2009-07 updatedLater,2009-06 updatedLater,2009-05 updatedLater,2009-04 updatedLater,2009-03 updatedLater,2009-02 updatedLater,2010-01 updatedLater,2009-01 updatedLater,2010-03 updatedLater,2010-02 updatedLater,2010-05 updatedLater,2010-04 updatedLater,2010-07 updatedLater,2010-06 updatedLater,2015-04 updatedLater,2012-11 updatedLater,2012-12 updatedLater,2015-03 updatedLater,2015-02 updatedLater,2012-10 updatedLater,2015-01 updatedLater,2015-08 updatedLater,2009-12 updatedLater,2015-07 updatedLater,2009-11 updatedLater,2015-06 updatedLater,2009-10 updatedLater,2015-05 updatedLater,2015-09 updatedLater,2016-01 updatedLater,2013-12 updatedLater,2016-05 updatedLater,2016-04 updatedLater,2013-10 updatedLater,2016-03 updatedLater,2013-11 updatedLater,2016-02 updatedLater,2013-01 updatedLater,2013-02 updatedLater,2010-10 updatedLater,2007-11 updatedLater,2007-12 updatedLater,2013-05 updatedLater,2010-12 updatedLater,2013-06 updatedLater,2010-11 updatedLater,2013-03 updatedLater,2013-04 updatedLater,2013-09 updatedLater,2013-07 updatedLater,2013-08 updatedLater,2014-03 updatedLater,2014-02 updatedLater,2014-01 updatedLater,2011-11 updatedLater,2011-10 updatedLater,2014-07 updatedLater,2014-06 updatedLater,2011-12 updatedLater,2014-05 updatedLater,2014-04 updatedLater,2014-09 updatedLater,2014-08 updatedLater,2008-09 updatedLater,2008-07 updatedLater,2011-09 updatedLater,2008-08 updatedLater,2008-05 updatedLater,2008-06 updatedLater,2008-03 updatedLater,2008-04 updatedLater,2008-01 updatedLater,2008-02 updatedLater,2011-02 updatedLater,2011-01 updatedLater,2011-04 updatedLater,2011-03 updatedLater,2011-06 updatedLater,2011-05 updatedLater,2011-08 updatedLater,2011-07 updatedLater,2012-01 hasCaption,2008-12 hasCaption,2012-04 hasCaption,2008-10 hasCaption,2012-05 hasCaption,2008-11 hasCaption,2012-02 hasCaption,2012-03 hasCaption,2012-08 hasCaption,2012-09 hasCaption,2012-06 hasCaption,2012-07 hasCaption,2014-10 hasCaption,2014-12 hasCaption,2014-11 hasCaption,2015-11 hasCaption,2015-10 hasCaption,2015-12 hasCaption,2009-09 hasCaption,2010-09 hasCaption,2010-08 hasCaption,2009-08 hasCaption,2009-07 hasCaption,2009-06 hasCaption,2009-05 hasCaption,2009-04 hasCaption,2009-03 hasCaption,2009-02 hasCaption,2010-01 hasCaption,2009-01 hasCaption,2010-03 hasCaption,2010-02 hasCaption,2010-05 hasCaption,2010-04 hasCaption,2010-07 hasCaption,2010-06 hasCaption,2015-04 hasCaption,2012-11 hasCaption,2012-12 hasCaption,2015-03 hasCaption,2015-02 hasCaption,2012-10 hasCaption,2015-01 hasCaption,2015-08 hasCaption,2009-12 hasCaption,2015-07 hasCaption,2009-11 hasCaption,2015-06 hasCaption,2009-10 hasCaption,2015-05 hasCaption,2015-09 hasCaption,2016-01 hasCaption,2013-12 hasCaption,2016-05 hasCaption,2016-04 hasCaption,2013-10 hasCaption,2016-03 hasCaption,2013-11 hasCaption,2016-02 hasCaption,2013-01 hasCaption,2013-02 hasCaption,2010-10 hasCaption,2007-11 hasCaption,2007-12 hasCaption,2013-05 hasCaption,2010-12 hasCaption,2013-06 hasCaption,2010-11 hasCaption,2013-03 hasCaption,2013-04 hasCaption,2013-09 hasCaption,2013-07 hasCaption,2013-08 hasCaption,2014-03 hasCaption,2014-02 hasCaption,2014-01 hasCaption,2011-11 hasCaption,2011-10 hasCaption,2014-07 hasCaption,2014-06 hasCaption,2011-12 hasCaption,2014-05 hasCaption,2014-04 hasCaption,2014-09 hasCaption,2014-08 hasCaption,2008-09 hasCaption,2008-07 hasCaption,2011-09 hasCaption,2008-08 hasCaption,2008-05 hasCaption,2008-06 hasCaption,2008-03 hasCaption,2008-04 hasCaption,2008-01 hasCaption,2008-02 hasCaption,2011-02 hasCaption,2011-01 hasCaption,2011-04 hasCaption,2011-03 hasCaption,2011-06 hasCaption,2011-05 hasCaption,2011-08 hasCaption,2011-07 hasCaption
Texas Instruments,13,,0,,0,,0,0,9,11,0,0,0,10,15,0,0,0,,,,,,,,,,,,,,0,,,0,0,0,0,6,21,27,0,0,0,,0,,7,,0,0,32,0,0,0,0,0,4,0,37,0,0,,,0,,103,0,29,41,0,0,12,7,0,55,0,0,0,0,0,0,30,72,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,247,,141,,382,,237,236,312,836,411,188,4223,3319,3362,4452,4216,12306,,,,,,,,,,,,,,10,,,28,47,18115,2066,1862,33676,16488,994,58734,8022,,13812,,23299,,4554,13927,50684,5800,375,7875,20417,759,13112,473,4102,2700,82,,,4110,,3149,4,3690,2859,4522,3055,3770,18251,3447,2995,175,165,22121,24951,15,12272,7969,15631,14683,,,145,,,,,,,,106,104,78,171,134,50,25,58,247,,141,,382,,237,236,312,836,411,188,4223,3319,3362,4452,4216,12306,,,,,,,,,,,,,,10,,,28,47,18115,2066,1862,33676,16488,994,58734,8022,,13812,,23299,,4554,13927,50684,5800,398,7896,20417,778,13112,476,4102,2700,82,,,4110,,3149,4,3690,2859,4522,3055,3770,18251,3447,2995,175,165,22121,24951,15,12272,7969,15631,14683,,,145,,,,,,,,106,104,78,171,134,50,25,58,13,,16,,36,,15,26,21,45,24,10,70,34,63,25,43,44,,,,,,,,,,,,,,0,,,2,1,77,112,66,67,55,55,52,61,,64,,82,,129,56,129,95,7,43,270,27,243,20,251,73,0,,,135,,104,0,183,118,165,69,103,163,87,67,25,14,153,178,2,131,124,99,101,,,3,,,,,,,,1,5,2,6,15,10,1,5,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,15,,16,,17,,52,35,15,29,29,15,76,84,93,61,74,68,,,,,,,,,,,,,,1,,,3,2,81,36,51,111,100,49,135,95,,65,,103,,82,89,90,71,34,67,101,57,96,54,105,57,27,,,116,,173,1,96,98,79,72,80,82,69,113,33,11,93,98,1,90,113,166,78,,,20,,,,,,,,26,16,3,23,27,15,1,9,0,,0,,1,,0,0,3,12,0,1,27,22,0,0,3,4,,,,,,,,,,,,,,1,,,0,0,5,33,45,43,53,27,8,5,,0,,3,,0,10,2,41,4,1,72,2,58,0,66,45,0,,,63,,62,0,55,48,65,57,59,67,56,48,0,0,56,57,0,50,46,58,40,,,0,,,,,,,,0,0,0,0,0,0,0,4,15,,10,,9,,49,32,15,29,20,15,68,83,93,61,73,66,,,,,,,,,,,,,,0,,,3,2,80,35,45,109,98,36,135,93,,65,,101,,82,88,90,71,34,66,98,55,95,53,104,57,27,,,113,,74,1,96,98,79,72,80,80,69,110,33,11,93,83,1,77,113,144,78,,,20,,,,,,,,22,16,3,23,21,10,1,3
DPR Construction,,,0,,,,,,0,0,0,0,1,0,3,0,2,0,,,,,,,,,,,,,,,,,,,2,4,0,,1,0,2,1,,1,,1,,1,2,0,0,2,8,0,1,0,0,0,0,,,,0,,1,,0,0,0,0,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,37,22,58,33,105,175,200,480,236,87,,,,,,,,,,,,,,,,,,,89,324,244,,155,14,231,130,,399,,162,,46,239,6,49,385,391,43,100,289,214,505,312,,,,57,,86,,51,156,51,21,38,80,197,142,,,11,,,,89,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,37,22,58,33,105,175,200,480,236,87,,,,,,,,,,,,,,,,,,,89,324,244,,155,14,231,130,,399,,162,,46,239,6,49,390,392,43,101,289,215,505,312,,,,57,,86,,51,156,51,21,38,80,197,142,,,11,,,,89,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,6,5,4,11,2,39,7,6,,,,,,,,,,,,,,,,,,,5,17,17,,8,0,4,18,,24,,1,,3,18,0,0,14,16,3,4,6,2,36,5,,,,2,,1,,0,14,1,0,0,2,10,11,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,0,0,0,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,2,3,1,2,3,3,7,2,,,,,,,,,,,,,,,,,,,2,24,22,,2,1,4,5,,3,,3,,1,3,1,1,5,13,1,5,6,2,17,13,,,,1,,1,,2,3,2,1,3,1,3,2,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,1,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,0,7,2,,0,1,1,0,,0,,2,,0,1,1,1,3,4,1,5,5,1,6,6,,,,1,,1,,2,2,1,1,1,1,1,1,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,3,1,2,3,1,2,3,3,3,2,,,,,,,,,,,,,,,,,,,2,20,22,,2,1,3,5,,3,,2,,1,3,0,1,5,13,1,2,6,2,17,13,,,,1,,1,,2,3,2,1,1,1,3,2,,,0,,,,1,,,,,,,,,,,,,,,,,,,,
Southern Ohio Medical Center,,,61,,104,,0,,65,97,0,63,60,0,0,0,1,45,,,,,,,,,,,,,,,,,,,0,0,43,0,0,124,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,82,,0,0,0,0,48,0,0,0,,,0,0,,77,0,0,0,,,,,,,,,,,,,,,,,,,,,3,,1,,2,,122,383,92,425,499,251,389,574,958,254,,,,,,,,,,,,,,,,,,,19,421,300,369,114,1089,147,653,,251,,93,,1018,613,28,918,398,92,1172,95,879,21,1225,1026,,,,521,,913,,469,277,375,745,1195,756,299,319,,,575,340,,369,411,267,236,,,,,,,,,,,,,,,,,,,,,3,,1,,2,,122,383,92,425,499,251,389,574,958,254,,,,,,,,,,,,,,,,,,,19,421,300,370,114,1089,147,653,,251,,93,,1018,613,28,918,408,96,1172,95,879,21,1225,1026,,,,523,,914,,469,277,375,745,1195,756,299,319,,,575,340,,369,411,267,236,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,6,17,1,45,47,21,34,22,246,26,,,,,,,,,,,,,,,,,,,1,33,16,10,6,85,4,34,,27,,3,,134,46,1,62,30,2,70,8,107,0,64,79,,,,31,,65,,39,10,14,39,65,52,23,18,,,55,17,,18,19,10,8,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,0,,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,61,,108,,1,,78,106,4,75,197,36,125,108,131,60,,,,,,,,,,,,,,,,,,,5,41,97,17,7,154,2,110,,84,,32,,148,40,4,75,105,22,125,18,115,6,5,14,,,,10,,154,,8,46,73,50,70,14,14,8,,,80,15,,81,79,24,31,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,4,12,0,0,2,2,0,0,3,2,,,,,,,,,,,,,,,,,,,2,10,11,11,4,41,1,3,,3,,2,,9,1,0,9,1,3,20,1,37,1,5,14,,,,10,,70,,8,46,8,17,18,11,4,6,,,12,9,,1,4,6,5,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,14,14,3,11,20,6,6,8,12,9,,,,,,,,,,,,,,,,,,,5,10,11,17,7,55,2,19,,7,,8,,15,9,4,10,29,14,10,18,8,6,5,14,,,,10,,14,,8,7,9,18,21,13,7,8,,,18,15,,4,13,8,8,,,,,,,,,,,,,,,,,,
Orrick Herrington & Sutcliffe,,,0,,,,,,,,,0,,,0,,0,,,0,0,,,,,,,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,8,,,,,,,,,1,,,58,,6,,,15,9,,,,,,,,,,,,3,,3,2,,,,6,,,,2,,,,19,,,,,,,,,,,,,,9,,,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,,,,,,,1,,,58,,6,,,15,9,,,,,,,,,,,,3,,3,2,,,,6,,,,2,,,,19,,,,,,,,,,,,,,9,,,,,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0,,,,,,,,,0,,,1,,0,,,0,0,,,,,,,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,0,,,0,,0,,,0,0,,,,,,,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,0,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,2,,,6,,3,,,4,15,,,,,,,,,,,,14,,6,6,,,,4,,,,2,,,,3,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,,,,,,,,1,,,2,,1,,,0,0,,,,,,,,,,,,2,,0,1,,,,1,,,,0,,,,1,,,,,,,,,,,,,,1,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,,,,,0,,,6,,3,,,4,13,,,,,,,,,,,,12,,6,6,,,,3,,,,2,,,,3,,,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
